"Year","Subject group HECoS CAH1","Age group","Domicile","Gender","Applications"
"2019","(CAH17) business and management","19","Not EU","Man","10960"
"2020","(CAH17) business and management","19","Not EU","Man","11450"
"2021","(CAH17) business and management","19","Not EU","Man","11870"
"2022","(CAH17) business and management","19","Not EU","Man","12170"
"2023","(CAH17) business and management","19","Not EU","Man","12950"
"2024","(CAH17) business and management","19","Not EU","Man","12040"
"2025","(CAH17) business and management","19","Not EU","Man","10380"
"2026","(CAH17) business and management","19","Not EU","Man","10440"
"2019","(CAH15) social sciences","19","Not EU","Man","4230"
"2020","(CAH15) social sciences","19","Not EU","Man","5120"
"2021","(CAH15) social sciences","19","Not EU","Man","5750"
"2022","(CAH15) social sciences","19","Not EU","Man","5600"
"2023","(CAH15) social sciences","19","Not EU","Man","6360"
"2024","(CAH15) social sciences","19","Not EU","Man","6240"
"2025","(CAH15) social sciences","19","Not EU","Man","5630"
"2026","(CAH15) social sciences","19","Not EU","Man","5700"
"2019","(CAH03) biological and sport sciences","19","Not EU","Man","1360"
"2020","(CAH03) biological and sport sciences","19","Not EU","Man","1430"
"2021","(CAH03) biological and sport sciences","19","Not EU","Man","1580"
"2022","(CAH03) biological and sport sciences","19","Not EU","Man","1710"
"2023","(CAH03) biological and sport sciences","19","Not EU","Man","1770"
"2024","(CAH03) biological and sport sciences","19","Not EU","Man","1710"
"2025","(CAH03) biological and sport sciences","19","Not EU","Man","1600"
"2026","(CAH03) biological and sport sciences","19","Not EU","Man","1750"
"2019","(CAH13) architecture, building and planning","19","Not EU","Man","1110"
"2020","(CAH13) architecture, building and planning","19","Not EU","Man","1070"
"2021","(CAH13) architecture, building and planning","19","Not EU","Man","1000"
"2022","(CAH13) architecture, building and planning","19","Not EU","Man","1020"
"2023","(CAH13) architecture, building and planning","19","Not EU","Man","1000"
"2024","(CAH13) architecture, building and planning","19","Not EU","Man","820"
"2025","(CAH13) architecture, building and planning","19","Not EU","Man","750"
"2026","(CAH13) architecture, building and planning","19","Not EU","Man","760"
"2019","(CAH01) medicine and dentistry","19","Not EU","Man","1070"
"2020","(CAH01) medicine and dentistry","19","Not EU","Man","1020"
"2021","(CAH01) medicine and dentistry","19","Not EU","Man","1170"
"2022","(CAH01) medicine and dentistry","19","Not EU","Man","1320"
"2023","(CAH01) medicine and dentistry","19","Not EU","Man","1220"
"2024","(CAH01) medicine and dentistry","19","Not EU","Man","1200"
"2025","(CAH01) medicine and dentistry","19","Not EU","Man","1070"
"2026","(CAH01) medicine and dentistry","19","Not EU","Man","1390"
"2019","(CAH20) historical, philosophical and religious studies","19","Not EU","Man","850"
"2020","(CAH20) historical, philosophical and religious studies","19","Not EU","Man","830"
"2021","(CAH20) historical, philosophical and religious studies","19","Not EU","Man","1010"
"2022","(CAH20) historical, philosophical and religious studies","19","Not EU","Man","910"
"2023","(CAH20) historical, philosophical and religious studies","19","Not EU","Man","1030"
"2024","(CAH20) historical, philosophical and religious studies","19","Not EU","Man","900"
"2025","(CAH20) historical, philosophical and religious studies","19","Not EU","Man","860"
"2026","(CAH20) historical, philosophical and religious studies","19","Not EU","Man","830"
"2019","(CAH11) computing","19","Not EU","Man","4210"
"2020","(CAH11) computing","19","Not EU","Man","4740"
"2021","(CAH11) computing","19","Not EU","Man","5540"
"2022","(CAH11) computing","19","Not EU","Man","5970"
"2023","(CAH11) computing","19","Not EU","Man","7000"
"2024","(CAH11) computing","19","Not EU","Man","6260"
"2025","(CAH11) computing","19","Not EU","Man","5510"
"2026","(CAH11) computing","19","Not EU","Man","5160"
"2019","(CAH26) geography, earth and environmental studies","19","Not EU","Man","400"
"2020","(CAH26) geography, earth and environmental studies","19","Not EU","Man","430"
"2021","(CAH26) geography, earth and environmental studies","19","Not EU","Man","540"
"2022","(CAH26) geography, earth and environmental studies","19","Not EU","Man","610"
"2023","(CAH26) geography, earth and environmental studies","19","Not EU","Man","820"
"2024","(CAH26) geography, earth and environmental studies","19","Not EU","Man","880"
"2025","(CAH26) geography, earth and environmental studies","19","Not EU","Man","760"
"2026","(CAH26) geography, earth and environmental studies","19","Not EU","Man","800"
"2019","(CAH07) physical sciences","19","Not EU","Man","1590"
"2020","(CAH07) physical sciences","19","Not EU","Man","1450"
"2021","(CAH07) physical sciences","19","Not EU","Man","1810"
"2022","(CAH07) physical sciences","19","Not EU","Man","1720"
"2023","(CAH07) physical sciences","19","Not EU","Man","1970"
"2024","(CAH07) physical sciences","19","Not EU","Man","2070"
"2025","(CAH07) physical sciences","19","Not EU","Man","1920"
"2026","(CAH07) physical sciences","19","Not EU","Man","2330"
"2019","(CAH04) psychology","19","Not EU","Man","580"
"2020","(CAH04) psychology","19","Not EU","Man","690"
"2021","(CAH04) psychology","19","Not EU","Man","800"
"2022","(CAH04) psychology","19","Not EU","Man","710"
"2023","(CAH04) psychology","19","Not EU","Man","820"
"2024","(CAH04) psychology","19","Not EU","Man","580"
"2025","(CAH04) psychology","19","Not EU","Man","580"
"2026","(CAH04) psychology","19","Not EU","Man","600"
"2019","(CAH09) mathematical sciences","19","Not EU","Man","2030"
"2020","(CAH09) mathematical sciences","19","Not EU","Man","2520"
"2021","(CAH09) mathematical sciences","19","Not EU","Man","3060"
"2022","(CAH09) mathematical sciences","19","Not EU","Man","3150"
"2023","(CAH09) mathematical sciences","19","Not EU","Man","3080"
"2024","(CAH09) mathematical sciences","19","Not EU","Man","3320"
"2025","(CAH09) mathematical sciences","19","Not EU","Man","3010"
"2026","(CAH09) mathematical sciences","19","Not EU","Man","3350"
"2019","(CAH22) education and teaching","19","Not EU","Man","70"
"2020","(CAH22) education and teaching","19","Not EU","Man","220"
"2021","(CAH22) education and teaching","19","Not EU","Man","200"
"2022","(CAH22) education and teaching","19","Not EU","Man","340"
"2023","(CAH22) education and teaching","19","Not EU","Man","320"
"2024","(CAH22) education and teaching","19","Not EU","Man","280"
"2025","(CAH22) education and teaching","19","Not EU","Man","250"
"2026","(CAH22) education and teaching","19","Not EU","Man","220"
"2019","(CAH06) agriculture, food and related studies","19","Not EU","Man","120"
"2020","(CAH06) agriculture, food and related studies","19","Not EU","Man","110"
"2021","(CAH06) agriculture, food and related studies","19","Not EU","Man","150"
"2022","(CAH06) agriculture, food and related studies","19","Not EU","Man","80"
"2023","(CAH06) agriculture, food and related studies","19","Not EU","Man","110"
"2024","(CAH06) agriculture, food and related studies","19","Not EU","Man","130"
"2025","(CAH06) agriculture, food and related studies","19","Not EU","Man","80"
"2026","(CAH06) agriculture, food and related studies","19","Not EU","Man","90"
"2019","(CAH16) law","19","Not EU","Man","1810"
"2020","(CAH16) law","19","Not EU","Man","1690"
"2021","(CAH16) law","19","Not EU","Man","1990"
"2022","(CAH16) law","19","Not EU","Man","1940"
"2023","(CAH16) law","19","Not EU","Man","2040"
"2024","(CAH16) law","19","Not EU","Man","1800"
"2025","(CAH16) law","19","Not EU","Man","1730"
"2026","(CAH16) law","19","Not EU","Man","1700"
"2019","(CAH05) veterinary sciences","19","Not EU","Man","40"
"2020","(CAH05) veterinary sciences","19","Not EU","Man","50"
"2021","(CAH05) veterinary sciences","19","Not EU","Man","40"
"2022","(CAH05) veterinary sciences","19","Not EU","Man","50"
"2023","(CAH05) veterinary sciences","19","Not EU","Man","70"
"2024","(CAH05) veterinary sciences","19","Not EU","Man","40"
"2025","(CAH05) veterinary sciences","19","Not EU","Man","70"
"2026","(CAH05) veterinary sciences","19","Not EU","Man","70"
"2019","Unassigned","20","Not EU","Man","0"
"2020","Unassigned","20","Not EU","Man","0"
"2021","Unassigned","20","Not EU","Man","0"
"2022","Unassigned","20","Not EU","Man","0"
"2023","Unassigned","20","Not EU","Man","0"
"2024","Unassigned","20","Not EU","Man","0"
"2025","Unassigned","20","Not EU","Man","0"
"2026","Unassigned","20","Not EU","Man","0"
"2019","(CAH25) design, and creative and performing arts","20","Not EU","Man","840"
"2020","(CAH25) design, and creative and performing arts","20","Not EU","Man","940"
"2021","(CAH25) design, and creative and performing arts","20","Not EU","Man","990"
"2022","(CAH25) design, and creative and performing arts","20","Not EU","Man","1200"
"2023","(CAH25) design, and creative and performing arts","20","Not EU","Man","1150"
"2024","(CAH25) design, and creative and performing arts","20","Not EU","Man","1010"
"2025","(CAH25) design, and creative and performing arts","20","Not EU","Man","1060"
"2026","(CAH25) design, and creative and performing arts","20","Not EU","Man","890"
"2019","(CAH10) engineering and technology","20","Not EU","Man","2680"
"2020","(CAH10) engineering and technology","20","Not EU","Man","2670"
"2021","(CAH10) engineering and technology","20","Not EU","Man","3030"
"2022","(CAH10) engineering and technology","20","Not EU","Man","3320"
"2023","(CAH10) engineering and technology","20","Not EU","Man","3340"
"2024","(CAH10) engineering and technology","20","Not EU","Man","3640"
"2025","(CAH10) engineering and technology","20","Not EU","Man","3750"
"2026","(CAH10) engineering and technology","20","Not EU","Man","3980"
"2019","(CAH02) subjects allied to medicine","20","Not EU","Man","500"
"2020","(CAH02) subjects allied to medicine","20","Not EU","Man","580"
"2021","(CAH02) subjects allied to medicine","20","Not EU","Man","800"
"2022","(CAH02) subjects allied to medicine","20","Not EU","Man","1010"
"2023","(CAH02) subjects allied to medicine","20","Not EU","Man","1090"
"2024","(CAH02) subjects allied to medicine","20","Not EU","Man","1270"
"2025","(CAH02) subjects allied to medicine","20","Not EU","Man","1320"
"2026","(CAH02) subjects allied to medicine","20","Not EU","Man","1320"
"2019","(CAH19) language and area studies","20","Not EU","Man","130"
"2020","(CAH19) language and area studies","20","Not EU","Man","180"
"2021","(CAH19) language and area studies","20","Not EU","Man","150"
"2022","(CAH19) language and area studies","20","Not EU","Man","190"
"2023","(CAH19) language and area studies","20","Not EU","Man","170"
"2024","(CAH19) language and area studies","20","Not EU","Man","180"
"2025","(CAH19) language and area studies","20","Not EU","Man","180"
"2026","(CAH19) language and area studies","20","Not EU","Man","150"
"2019","(CAH24) media, journalism and communications","20","Not EU","Man","230"
"2020","(CAH24) media, journalism and communications","20","Not EU","Man","280"
"2021","(CAH24) media, journalism and communications","20","Not EU","Man","320"
"2022","(CAH24) media, journalism and communications","20","Not EU","Man","380"
"2023","(CAH24) media, journalism and communications","20","Not EU","Man","350"
"2024","(CAH24) media, journalism and communications","20","Not EU","Man","370"
"2025","(CAH24) media, journalism and communications","20","Not EU","Man","350"
"2026","(CAH24) media, journalism and communications","20","Not EU","Man","280"
"2019","(CAH23) combined and general studies","20","Not EU","Man","80"
"2020","(CAH23) combined and general studies","20","Not EU","Man","80"
"2021","(CAH23) combined and general studies","20","Not EU","Man","100"
"2022","(CAH23) combined and general studies","20","Not EU","Man","100"
"2023","(CAH23) combined and general studies","20","Not EU","Man","90"
"2024","(CAH23) combined and general studies","20","Not EU","Man","80"
"2025","(CAH23) combined and general studies","20","Not EU","Man","80"
"2026","(CAH23) combined and general studies","20","Not EU","Man","80"
"2019","(CAH17) business and management","20","Not EU","Man","4420"
"2020","(CAH17) business and management","20","Not EU","Man","5120"
"2021","(CAH17) business and management","20","Not EU","Man","5470"
"2022","(CAH17) business and management","20","Not EU","Man","6040"
"2023","(CAH17) business and management","20","Not EU","Man","6840"
"2024","(CAH17) business and management","20","Not EU","Man","6200"
"2025","(CAH17) business and management","20","Not EU","Man","5420"
"2026","(CAH17) business and management","20","Not EU","Man","4560"
"2019","(CAH15) social sciences","20","Not EU","Man","2010"
"2020","(CAH15) social sciences","20","Not EU","Man","2130"
"2021","(CAH15) social sciences","20","Not EU","Man","2270"
"2022","(CAH15) social sciences","20","Not EU","Man","2670"
"2023","(CAH15) social sciences","20","Not EU","Man","2540"
"2024","(CAH15) social sciences","20","Not EU","Man","2770"
"2025","(CAH15) social sciences","20","Not EU","Man","2380"
"2026","(CAH15) social sciences","20","Not EU","Man","2160"
"2019","(CAH03) biological and sport sciences","20","Not EU","Man","430"
"2020","(CAH03) biological and sport sciences","20","Not EU","Man","590"
"2021","(CAH03) biological and sport sciences","20","Not EU","Man","610"
"2022","(CAH03) biological and sport sciences","20","Not EU","Man","640"
"2023","(CAH03) biological and sport sciences","20","Not EU","Man","630"
"2024","(CAH03) biological and sport sciences","20","Not EU","Man","600"
"2025","(CAH03) biological and sport sciences","20","Not EU","Man","610"
"2026","(CAH03) biological and sport sciences","20","Not EU","Man","510"
"2019","(CAH13) architecture, building and planning","20","Not EU","Man","410"
"2020","(CAH13) architecture, building and planning","20","Not EU","Man","440"
"2021","(CAH13) architecture, building and planning","20","Not EU","Man","330"
"2022","(CAH13) architecture, building and planning","20","Not EU","Man","410"
"2023","(CAH13) architecture, building and planning","20","Not EU","Man","390"
"2024","(CAH13) architecture, building and planning","20","Not EU","Man","440"
"2025","(CAH13) architecture, building and planning","20","Not EU","Man","290"
"2026","(CAH13) architecture, building and planning","20","Not EU","Man","260"
"2019","(CAH01) medicine and dentistry","20","Not EU","Man","580"
"2020","(CAH01) medicine and dentistry","20","Not EU","Man","650"
"2021","(CAH01) medicine and dentistry","20","Not EU","Man","610"
"2022","(CAH01) medicine and dentistry","20","Not EU","Man","610"
"2023","(CAH01) medicine and dentistry","20","Not EU","Man","710"
"2024","(CAH01) medicine and dentistry","20","Not EU","Man","700"
"2025","(CAH01) medicine and dentistry","20","Not EU","Man","760"
"2026","(CAH01) medicine and dentistry","20","Not EU","Man","720"
"2019","(CAH20) historical, philosophical and religious studies","20","Not EU","Man","330"
"2020","(CAH20) historical, philosophical and religious studies","20","Not EU","Man","350"
"2021","(CAH20) historical, philosophical and religious studies","20","Not EU","Man","350"
"2022","(CAH20) historical, philosophical and religious studies","20","Not EU","Man","390"
"2023","(CAH20) historical, philosophical and religious studies","20","Not EU","Man","490"
"2024","(CAH20) historical, philosophical and religious studies","20","Not EU","Man","400"
"2025","(CAH20) historical, philosophical and religious studies","20","Not EU","Man","380"
"2026","(CAH20) historical, philosophical and religious studies","20","Not EU","Man","250"
"2019","(CAH11) computing","20","Not EU","Man","1630"
"2020","(CAH11) computing","20","Not EU","Man","1980"
"2021","(CAH11) computing","20","Not EU","Man","2260"
"2022","(CAH11) computing","20","Not EU","Man","2900"
"2023","(CAH11) computing","20","Not EU","Man","3170"
"2024","(CAH11) computing","20","Not EU","Man","3090"
"2025","(CAH11) computing","20","Not EU","Man","2540"
"2026","(CAH11) computing","20","Not EU","Man","2660"
"2019","(CAH26) geography, earth and environmental studies","20","Not EU","Man","190"
"2020","(CAH26) geography, earth and environmental studies","20","Not EU","Man","190"
"2021","(CAH26) geography, earth and environmental studies","20","Not EU","Man","230"
"2022","(CAH26) geography, earth and environmental studies","20","Not EU","Man","290"
"2023","(CAH26) geography, earth and environmental studies","20","Not EU","Man","340"
"2024","(CAH26) geography, earth and environmental studies","20","Not EU","Man","280"
"2025","(CAH26) geography, earth and environmental studies","20","Not EU","Man","280"
"2026","(CAH26) geography, earth and environmental studies","20","Not EU","Man","230"
"2019","(CAH07) physical sciences","20","Not EU","Man","410"
"2020","(CAH07) physical sciences","20","Not EU","Man","580"
"2021","(CAH07) physical sciences","20","Not EU","Man","560"
"2022","(CAH07) physical sciences","20","Not EU","Man","600"
"2023","(CAH07) physical sciences","20","Not EU","Man","640"
"2024","(CAH07) physical sciences","20","Not EU","Man","630"
"2025","(CAH07) physical sciences","20","Not EU","Man","610"
"2026","(CAH07) physical sciences","20","Not EU","Man","540"
"2019","(CAH04) psychology","20","Not EU","Man","300"
"2020","(CAH04) psychology","20","Not EU","Man","250"
"2021","(CAH04) psychology","20","Not EU","Man","290"
"2022","(CAH04) psychology","20","Not EU","Man","290"
"2023","(CAH04) psychology","20","Not EU","Man","310"
"2024","(CAH04) psychology","20","Not EU","Man","300"
"2025","(CAH04) psychology","20","Not EU","Man","260"
"2026","(CAH04) psychology","20","Not EU","Man","230"
"2019","(CAH09) mathematical sciences","20","Not EU","Man","650"
"2020","(CAH09) mathematical sciences","20","Not EU","Man","870"
"2021","(CAH09) mathematical sciences","20","Not EU","Man","1110"
"2022","(CAH09) mathematical sciences","20","Not EU","Man","1350"
"2023","(CAH09) mathematical sciences","20","Not EU","Man","1250"
"2024","(CAH09) mathematical sciences","20","Not EU","Man","1150"
"2025","(CAH09) mathematical sciences","20","Not EU","Man","1030"
"2026","(CAH09) mathematical sciences","20","Not EU","Man","1010"
"2019","(CAH22) education and teaching","20","Not EU","Man","30"
"2020","(CAH22) education and teaching","20","Not EU","Man","60"
"2021","(CAH22) education and teaching","20","Not EU","Man","80"
"2022","(CAH22) education and teaching","20","Not EU","Man","140"
"2023","(CAH22) education and teaching","20","Not EU","Man","100"
"2024","(CAH22) education and teaching","20","Not EU","Man","90"
"2025","(CAH22) education and teaching","20","Not EU","Man","110"
"2026","(CAH22) education and teaching","20","Not EU","Man","50"
"2019","(CAH06) agriculture, food and related studies","20","Not EU","Man","60"
"2020","(CAH06) agriculture, food and related studies","20","Not EU","Man","50"
"2021","(CAH06) agriculture, food and related studies","20","Not EU","Man","40"
"2022","(CAH06) agriculture, food and related studies","20","Not EU","Man","60"
"2023","(CAH06) agriculture, food and related studies","20","Not EU","Man","70"
"2024","(CAH06) agriculture, food and related studies","20","Not EU","Man","40"
"2025","(CAH06) agriculture, food and related studies","20","Not EU","Man","60"
"2026","(CAH06) agriculture, food and related studies","20","Not EU","Man","50"
"2019","(CAH16) law","20","Not EU","Man","1150"
"2020","(CAH16) law","20","Not EU","Man","1150"
"2021","(CAH16) law","20","Not EU","Man","1320"
"2022","(CAH16) law","20","Not EU","Man","1220"
"2023","(CAH16) law","20","Not EU","Man","1360"
"2024","(CAH16) law","20","Not EU","Man","1130"
"2025","(CAH16) law","20","Not EU","Man","1190"
"2026","(CAH16) law","20","Not EU","Man","1110"
"2019","(CAH05) veterinary sciences","20","Not EU","Man","20"
"2020","(CAH05) veterinary sciences","20","Not EU","Man","20"
"2021","(CAH05) veterinary sciences","20","Not EU","Man","20"
"2022","(CAH05) veterinary sciences","20","Not EU","Man","20"
"2023","(CAH05) veterinary sciences","20","Not EU","Man","20"
"2024","(CAH05) veterinary sciences","20","Not EU","Man","30"
"2025","(CAH05) veterinary sciences","20","Not EU","Man","30"
"2026","(CAH05) veterinary sciences","20","Not EU","Man","30"
"2019","Unassigned","21 - 24","Not EU","Man","10"
"2020","Unassigned","21 - 24","Not EU","Man","0"
"2021","Unassigned","21 - 24","Not EU","Man","0"
"2022","Unassigned","21 - 24","Not EU","Man","0"
"2023","Unassigned","21 - 24","Not EU","Man","0"
"2024","Unassigned","21 - 24","Not EU","Man","0"
"2025","Unassigned","21 - 24","Not EU","Man","0"
"2026","Unassigned","21 - 24","Not EU","Man","0"
"2019","(CAH25) design, and creative and performing arts","21 - 24","Not EU","Man","1120"
"2020","(CAH25) design, and creative and performing arts","21 - 24","Not EU","Man","1160"
"2021","(CAH25) design, and creative and performing arts","21 - 24","Not EU","Man","1130"
"2022","(CAH25) design, and creative and performing arts","21 - 24","Not EU","Man","1650"
"2023","(CAH25) design, and creative and performing arts","21 - 24","Not EU","Man","1660"
"2024","(CAH25) design, and creative and performing arts","21 - 24","Not EU","Man","1550"
"2025","(CAH25) design, and creative and performing arts","21 - 24","Not EU","Man","1340"
"2026","(CAH25) design, and creative and performing arts","21 - 24","Not EU","Man","1150"
"2019","(CAH10) engineering and technology","21 - 24","Not EU","Man","2110"
"2020","(CAH10) engineering and technology","21 - 24","Not EU","Man","1930"
"2021","(CAH10) engineering and technology","21 - 24","Not EU","Man","1900"
"2022","(CAH10) engineering and technology","21 - 24","Not EU","Man","2550"
"2023","(CAH10) engineering and technology","21 - 24","Not EU","Man","2850"
"2024","(CAH10) engineering and technology","21 - 24","Not EU","Man","2450"
"2025","(CAH10) engineering and technology","21 - 24","Not EU","Man","2230"
"2026","(CAH10) engineering and technology","21 - 24","Not EU","Man","2330"
"2019","(CAH02) subjects allied to medicine","21 - 24","Not EU","Man","880"
"2020","(CAH02) subjects allied to medicine","21 - 24","Not EU","Man","800"
"2021","(CAH02) subjects allied to medicine","21 - 24","Not EU","Man","1110"
"2022","(CAH02) subjects allied to medicine","21 - 24","Not EU","Man","1570"
"2023","(CAH02) subjects allied to medicine","21 - 24","Not EU","Man","1810"
"2024","(CAH02) subjects allied to medicine","21 - 24","Not EU","Man","1550"
"2025","(CAH02) subjects allied to medicine","21 - 24","Not EU","Man","1640"
"2026","(CAH02) subjects allied to medicine","21 - 24","Not EU","Man","1690"
"2019","(CAH19) language and area studies","21 - 24","Not EU","Man","200"
"2020","(CAH19) language and area studies","21 - 24","Not EU","Man","160"
"2021","(CAH19) language and area studies","21 - 24","Not EU","Man","200"
"2022","(CAH19) language and area studies","21 - 24","Not EU","Man","230"
"2023","(CAH19) language and area studies","21 - 24","Not EU","Man","230"
"2024","(CAH19) language and area studies","21 - 24","Not EU","Man","240"
"2025","(CAH19) language and area studies","21 - 24","Not EU","Man","190"
"2026","(CAH19) language and area studies","21 - 24","Not EU","Man","180"
"2019","(CAH24) media, journalism and communications","21 - 24","Not EU","Man","260"
"2020","(CAH24) media, journalism and communications","21 - 24","Not EU","Man","270"
"2021","(CAH24) media, journalism and communications","21 - 24","Not EU","Man","310"
"2022","(CAH24) media, journalism and communications","21 - 24","Not EU","Man","420"
"2023","(CAH24) media, journalism and communications","21 - 24","Not EU","Man","460"
"2024","(CAH24) media, journalism and communications","21 - 24","Not EU","Man","340"
"2025","(CAH24) media, journalism and communications","21 - 24","Not EU","Man","370"
"2026","(CAH24) media, journalism and communications","21 - 24","Not EU","Man","310"
"2019","(CAH23) combined and general studies","21 - 24","Not EU","Man","80"
"2020","(CAH23) combined and general studies","21 - 24","Not EU","Man","80"
"2021","(CAH23) combined and general studies","21 - 24","Not EU","Man","70"
"2022","(CAH23) combined and general studies","21 - 24","Not EU","Man","90"
"2023","(CAH23) combined and general studies","21 - 24","Not EU","Man","110"
"2024","(CAH23) combined and general studies","21 - 24","Not EU","Man","70"
"2025","(CAH23) combined and general studies","21 - 24","Not EU","Man","70"
"2026","(CAH23) combined and general studies","21 - 24","Not EU","Man","70"
"2019","(CAH17) business and management","21 - 24","Not EU","Man","3440"
"2020","(CAH17) business and management","21 - 24","Not EU","Man","3640"
"2021","(CAH17) business and management","21 - 24","Not EU","Man","4080"
"2022","(CAH17) business and management","21 - 24","Not EU","Man","5540"
"2023","(CAH17) business and management","21 - 24","Not EU","Man","6700"
"2024","(CAH17) business and management","21 - 24","Not EU","Man","5700"
"2025","(CAH17) business and management","21 - 24","Not EU","Man","4020"
"2026","(CAH17) business and management","21 - 24","Not EU","Man","4360"
"2019","(CAH15) social sciences","21 - 24","Not EU","Man","1330"
"2020","(CAH15) social sciences","21 - 24","Not EU","Man","1420"
"2021","(CAH15) social sciences","21 - 24","Not EU","Man","1700"
"2022","(CAH15) social sciences","21 - 24","Not EU","Man","1960"
"2023","(CAH15) social sciences","21 - 24","Not EU","Man","2000"
"2024","(CAH15) social sciences","21 - 24","Not EU","Man","1950"
"2025","(CAH15) social sciences","21 - 24","Not EU","Man","1800"
"2026","(CAH15) social sciences","21 - 24","Not EU","Man","1750"
"2019","(CAH03) biological and sport sciences","21 - 24","Not EU","Man","440"
"2020","(CAH03) biological and sport sciences","21 - 24","Not EU","Man","460"
"2021","(CAH03) biological and sport sciences","21 - 24","Not EU","Man","430"
"2022","(CAH03) biological and sport sciences","21 - 24","Not EU","Man","650"
"2023","(CAH03) biological and sport sciences","21 - 24","Not EU","Man","710"
"2024","(CAH03) biological and sport sciences","21 - 24","Not EU","Man","500"
"2025","(CAH03) biological and sport sciences","21 - 24","Not EU","Man","510"
"2026","(CAH03) biological and sport sciences","21 - 24","Not EU","Man","500"
"2019","(CAH13) architecture, building and planning","21 - 24","Not EU","Man","450"
"2020","(CAH13) architecture, building and planning","21 - 24","Not EU","Man","420"
"2021","(CAH13) architecture, building and planning","21 - 24","Not EU","Man","480"
"2022","(CAH13) architecture, building and planning","21 - 24","Not EU","Man","480"
"2023","(CAH13) architecture, building and planning","21 - 24","Not EU","Man","450"
"2024","(CAH13) architecture, building and planning","21 - 24","Not EU","Man","420"
"2025","(CAH13) architecture, building and planning","21 - 24","Not EU","Man","390"
"2026","(CAH13) architecture, building and planning","21 - 24","Not EU","Man","310"
"2019","(CAH01) medicine and dentistry","21 - 24","Not EU","Man","660"
"2020","(CAH01) medicine and dentistry","21 - 24","Not EU","Man","750"
"2021","(CAH01) medicine and dentistry","21 - 24","Not EU","Man","830"
"2022","(CAH01) medicine and dentistry","21 - 24","Not EU","Man","830"
"2023","(CAH01) medicine and dentistry","21 - 24","Not EU","Man","860"
"2024","(CAH01) medicine and dentistry","21 - 24","Not EU","Man","890"
"2025","(CAH01) medicine and dentistry","21 - 24","Not EU","Man","890"
"2026","(CAH01) medicine and dentistry","21 - 24","Not EU","Man","920"
"2019","(CAH20) historical, philosophical and religious studies","21 - 24","Not EU","Man","260"
"2020","(CAH20) historical, philosophical and religious studies","21 - 24","Not EU","Man","280"
"2021","(CAH20) historical, philosophical and religious studies","21 - 24","Not EU","Man","350"
"2022","(CAH20) historical, philosophical and religious studies","21 - 24","Not EU","Man","390"
"2023","(CAH20) historical, philosophical and religious studies","21 - 24","Not EU","Man","420"
"2024","(CAH20) historical, philosophical and religious studies","21 - 24","Not EU","Man","390"
"2025","(CAH20) historical, philosophical and religious studies","21 - 24","Not EU","Man","310"
"2026","(CAH20) historical, philosophical and religious studies","21 - 24","Not EU","Man","340"
"2019","(CAH11) computing","21 - 24","Not EU","Man","1280"
"2020","(CAH11) computing","21 - 24","Not EU","Man","1370"
"2021","(CAH11) computing","21 - 24","Not EU","Man","1810"
"2022","(CAH11) computing","21 - 24","Not EU","Man","2520"
"2023","(CAH11) computing","21 - 24","Not EU","Man","3390"
"2024","(CAH11) computing","21 - 24","Not EU","Man","3000"
"2025","(CAH11) computing","21 - 24","Not EU","Man","2450"
"2026","(CAH11) computing","21 - 24","Not EU","Man","2750"
"2019","(CAH26) geography, earth and environmental studies","21 - 24","Not EU","Man","130"
"2020","(CAH26) geography, earth and environmental studies","21 - 24","Not EU","Man","100"
"2021","(CAH26) geography, earth and environmental studies","21 - 24","Not EU","Man","90"
"2022","(CAH26) geography, earth and environmental studies","21 - 24","Not EU","Man","130"
"2023","(CAH26) geography, earth and environmental studies","21 - 24","Not EU","Man","190"
"2024","(CAH26) geography, earth and environmental studies","21 - 24","Not EU","Man","240"
"2025","(CAH26) geography, earth and environmental studies","21 - 24","Not EU","Man","170"
"2026","(CAH26) geography, earth and environmental studies","21 - 24","Not EU","Man","160"
"2019","(CAH07) physical sciences","21 - 24","Not EU","Man","320"
"2020","(CAH07) physical sciences","21 - 24","Not EU","Man","290"
"2021","(CAH07) physical sciences","21 - 24","Not EU","Man","240"
"2022","(CAH07) physical sciences","21 - 24","Not EU","Man","350"
"2023","(CAH07) physical sciences","21 - 24","Not EU","Man","420"
"2024","(CAH07) physical sciences","21 - 24","Not EU","Man","380"
"2025","(CAH07) physical sciences","21 - 24","Not EU","Man","260"
"2026","(CAH07) physical sciences","21 - 24","Not EU","Man","310"
"2019","(CAH04) psychology","21 - 24","Not EU","Man","290"
"2020","(CAH04) psychology","21 - 24","Not EU","Man","280"
"2021","(CAH04) psychology","21 - 24","Not EU","Man","260"
"2022","(CAH04) psychology","21 - 24","Not EU","Man","400"
"2023","(CAH04) psychology","21 - 24","Not EU","Man","400"
"2024","(CAH04) psychology","21 - 24","Not EU","Man","320"
"2025","(CAH04) psychology","21 - 24","Not EU","Man","300"
"2026","(CAH04) psychology","21 - 24","Not EU","Man","190"
"2019","(CAH09) mathematical sciences","21 - 24","Not EU","Man","440"
"2020","(CAH09) mathematical sciences","21 - 24","Not EU","Man","460"
"2021","(CAH09) mathematical sciences","21 - 24","Not EU","Man","450"
"2022","(CAH09) mathematical sciences","21 - 24","Not EU","Man","620"
"2023","(CAH09) mathematical sciences","21 - 24","Not EU","Man","630"
