time_period,academic_year,YAG,qualification_level,sex,CAH3_code,CAH3_subject,grads,grads_uk,unmatched_percent,overseas_percent,matched,activity_not_captured,no_sust_dest,sust_emp_only,sust_emp_with_or_without_fs,sust_emp_fs_or_both,fs_with_or_without_sust_emp,earnings_include,earnings_LQ,earnings_median,earnings_UQ
202324,2021/2022,1 YAG,First-degree,Female,CAH01-01-01,Medical sciences (non-specific),255,250,0.4,1.4,250,1.2,4,20,60.7,94.8,74.8,50,20500,27100,31800
202324,2021/2022,1 YAG,First-degree,Male,CAH03-01-08,"Molecular biology, biophysics and biochemistry",835,825,0.5,1.4,820,3.9,6.1,46.9,72.7,90,43.1,375,21200,26000,31100
202324,2021/2022,1 YAG,First-degree,Male,CAH10-01-01,Engineering (non-specific),1265,1240,1.8,2,1220,6,4.6,75.3,86.7,89.4,14.1,905,30000,38400,51200
202324,2019/2020,3 YAG,First-degree,Female,CAH15-01-03,Social policy,765,755,0.6,1.6,750,2.7,8.4,69.7,86.2,88.9,19.2,510,21600,27400,32900
202122,2019/2020,1 YAG,First-degree,Male,CAH07-04-04,Natural sciences (non-specific),285,275,0.5,3.4,275,3.5,1.9,50.5,81.7,94.6,44,135,24100,29600,36500
202324,2019/2020,3 YAG,First-degree,Female,CAH15-01-04,Anthropology,605,570,0.5,6,565,6.2,7.6,68.1,81.2,86.2,18,370,24200,28500,37000
202324,2019/2020,3 YAG,First-degree,Female,CAH10-01-03,Production and manufacturing engineering,150,140,0,5.3,140,3.5,3.9,77.3,91.6,92.6,15.3,110,28900,37700,45400
202122,2019/2020,1 YAG,First-degree,Male,CAH03-01-08,"Molecular biology, biophysics and biochemistry",855,840,0.7,1.9,830,3.1,5.5,43.9,72.1,91.4,47.5,355,17500,23400,28800
202223,2020/2021,1 YAG,First-degree,Male,CAH19-04-01,French studies,220,210,0.6,4.6,210,5.7,9.3,55.6,75.1,85,29.4,110,19300,25900,33600
202324,2021/2022,1 YAG,First-degree,Female,CAH15-03-01,Politics,2790,2715,0.6,2.7,2700,3.7,8.1,56.2,79.4,88.1,32,1475,20500,25600,31500
202324,2021/2022,1 YAG,First-degree,Male,CAH15-01-03,Social policy,290,285,0.2,2.3,280,2.8,6.9,65,85.1,90.2,25.2,180,20100,25600,31500
202324,2019/2020,3 YAG,First-degree,Male,CAH22-01-02,Teacher training,640,625,0.4,2.8,620,4.9,4.7,84.8,90.1,90.4,5.6,520,25300,30000,32200
202324,2019/2020,3 YAG,First-degree,Male,CAH19-01-01,English studies (non-specific),770,750,0.7,2.6,745,5.8,9.1,69.9,79.6,85.1,15.2,510,22000,27400,31900
202122,2019/2020,1 YAG,First-degree,Male,CAH01-01-04,Dentistry,315,310,0.6,1,310,1,3.9,89,93.9,95.1,6.1,125,34200,40900,48900
202324,2019/2020,3 YAG,First-degree,Male,CAH03-01-06,Zoology,320,310,1.6,2.3,305,4.2,7.6,70.7,81.9,88.2,17.5,215,21600,24900,29300
