"time_period","time_identifier","geographic_level","country_code","country_name","academic_year","YAG","qualification_level","sex","CAH2_code","CAH2_subject","CAH3_code","CAH3_subject","grads","grads_uk","unmatched_percent","overseas_percent","matched","activity_not_captured","no_sust_dest","sust_emp_only","sust_emp_with_or_without_fs","sust_emp_fs_or_both","fs_with_or_without_sust_emp","earnings_include","earnings_LQ","earnings_median","earnings_UQ"
201718,"Tax year","National","K02000001","United Kingdom","2015/2016","1 YAG","Level 7","Female","CAH02-06","Allied health","CAH02-06-01","Health sciences (non-specific)",2525,2505,"2","0.9","2455","3.8","2.3","72","91.1","93.9","21.9","1725","22600","30700","40500"
202021,"Tax year","National","K02000001","United Kingdom","2014/2015","5 YAG","Level 7","Female","CAH02-04","Nursing and midwifery","CAH02-04-03","Community nursing",1045,1035,"1.9","1.2","1015","3.7","2.5","80","92.5","93.8","13.8","790","21900","30300","38000"
202223,"Tax year","National","K02000001","United Kingdom","2020/2021","1 YAG","Level 7","Female","CAH22-01","Education and teaching","CAH22-01-01","Education",5810,5705,"2.9","1.7","5540","4.1","3.2","77.6","91","92.7","15.1","4205","25600","34700","44200"
201718,"Tax year","National","K02000001","United Kingdom","2011/2012","5 YAG","First-degree","Female","CAH02-04","Nursing and midwifery","CAH02-04-01","Nursing (non-specific)",3450,3410,"5.6","1.1","3220","3.6","2.3","74","93","94.1","20","2300","21900","29900","36500"
201718,"Tax year","National","K02000001","United Kingdom","2015/2016","1 YAG","Level 7","Female","CAH17-01","Business and management","CAH17-01-04","Management studies",3255,3215,"4","1.3","3085","5.1","3.6","78","89.7","91.3","13.3","2365","28100","37600","48500"
201718,"Tax year","National","K02000001","United Kingdom","2006/2007","10 YAG","Level 7","Female","CAH19-01","English studies","CAH19-01-05","Creative writing",265,260,"13.8","1.5","225","18.9","4","69.6","76.2","77.1","7.6","135","9300","19300","32100"
202324,"Tax year","National","K02000001","United Kingdom","2019/2020","3 YAG","First-degree","Male","CAH02-06","Allied health","CAH02-06-01","Health sciences (non-specific)",735,725,"0.4","1.2","720","3.4","2","65.6","92.4","94.6","29","465","33300","42500","49000"
202021,"Tax year","National","K02000001","United Kingdom","2016/2017","3 YAG","Level 7","Male","CAH16-01","Law","CAH16-01-01","Law",2265,2215,"2.4","2.1","2165","6.5","4.8","78.1","86.7","88.7","10.7","1620","25200","36900","55500"
202122,"Tax year","National","K02000001","United Kingdom","2019/2020","1 YAG","Level 7","Male","CAH15-03","Politics","CAH15-03-01","Politics",1485,1445,"4.9","2.5","1375","9.3","6.1","69.2","80.3","84.5","15.3","915","23000","29900","45600"
201920,"Tax year","National","K02000001","United Kingdom","2013/2014","5 YAG","Level 7","Female","CAH22-01","Education and teaching","CAH22-01-02","Teacher training",16240,15675,"1.5","3.5","15435","5.5","3.3","85.1","90.4","91.1","6","12805","22000","31100","35900"
201819,"Tax year","National","K02000001","United Kingdom","2012/2013","5 YAG","Level 7","Male","CAH04-01","Psychology","CAH04-01-02","Applied psychology",140,135,"1.5","3.9","135","7.8","5.2","70.6","84.7","87","16.4","85","21500","32800","48900"
202324,"Tax year","National","K02000001","United Kingdom","2019/2020","3 YAG","Level 7","Female","CAH02-04","Nursing and midwifery","CAH02-04-07","Mental health nursing",710,705,"1","0.5","695","2.8","3.3","68","92.4","93.9","25.9","465","30000","38400","49000"
202324,"Tax year","National","K02000001","United Kingdom","2021/2022","1 YAG","Level 7","Female","CAH02-05","Medical sciences","CAH02-05-04","Anatomy, physiology and pathology",215,210,"0.8","0.8","210","2.9","1.8","69","92.9","95.3","26.3","145","28200","37000","46800"
202021,"Tax year","National","K02000001","United Kingdom","2018/2019","1 YAG","First-degree","Male","CAH25-01","Creative arts and design","CAH25-01-04","Cinematics and photography",2480,2445,"0.4","1.5","2435","6","17.2","66.8","72.3","76.8","10","1495","9900","15000","19700"
