"time_period","time_identifier","geographic_level","country_code","country_name","academic_year","YAG","qualification_level","sex","CAH2_code","CAH2_subject","CAH3_code","CAH3_subject","grads","grads_uk","unmatched_percent","overseas_percent","matched","activity_not_captured","no_sust_dest","sust_emp_only","sust_emp_with_or_without_fs","sust_emp_fs_or_both","fs_with_or_without_sust_emp","earnings_include","earnings_LQ","earnings_median","earnings_UQ"
201920,"Tax year","National","K02000001","United Kingdom","2008/2009","10 YAG","First-degree","Male","CAH02-04","Nursing and midwifery","CAH02-04-04","Midwifery",5,5,"c","c","5","c","c","c","c","c","c","5","c","c","c"
202223,"Tax year","National","K02000001","United Kingdom","2020/2021","1 YAG","First-degree","Male","CAH13-01","Architecture, building and planning","CAH13-01-03","Landscape design",50,50,"0","2.1","50","4.2","16.8","66.3","76.8","78.9","12.6","30","16000","23000","27000"
202223,"Tax year","National","K02000001","United Kingdom","2018/2019","3 YAG","Level 7","Male","CAH10-03","Materials and technology","CAH10-03-01","Minerals technology",35,30,"0","11.8","30","13.3","15","71.7","71.7","71.7","0","20","26600","33200","50700"
202021,"Tax year","National","K02000001","United Kingdom","2016/2017","3 YAG","First-degree","Male","CAH20-01","History and archaeology","CAH20-01-04","Heritage studies",15,15,"0","0","15","0","23.1","69.2","69.2","76.9","7.7","10","c","c","c"
202223,"Tax year","National","K02000001","United Kingdom","2018/2019","3 YAG","Level 7","Female","CAH02-05","Medical sciences","CAH02-05-02","Healthcare science (non-specific)",45,45,"2.2","0","45","4.6","2.3","76.3","88.5","93.1","16.8","35","27000","33900","46000"
202223,"Tax year","National","K02000001","United Kingdom","2018/2019","3 YAG","First-degree","Male","CAH06-01","Agriculture, food and related studies","CAH06-01-04","Rural estate management",125,120,"1.7","3.2","120","5.5","12.6","74.4","80.7","81.9","7.6","85","23700","27400","33700"
201920,"Tax year","National","K02000001","United Kingdom","2008/2009","10 YAG","Level 8","Female","CAH04-01","Psychology","CAH04-01-02","Applied psychology",10,10,"c","c","5","c","c","c","c","c","c","5","c","c","c"
202122,"Tax year","National","K02000001","United Kingdom","2015/2016","5 YAG","Level 8","Male","CAH02-02","Pharmacology, toxicology and pharmacy","CAH02-02-03","Pharmacy",35,35,"6.1","5.7","30","19.4","9.7","71","71","71","0","20","34900","45600","54800"
201819,"Tax year","National","K02000001","United Kingdom","2016/2017","1 YAG","First-degree","Male","CAH10-03","Materials and technology","CAH10-03-03","Polymers and textiles",15,15,"0","0","15","0","3.4","55.2","82.8","96.6","41.4","10","c","c","c"
202122,"Tax year","National","K02000001","United Kingdom","2017/2018","3 YAG","First-degree","Male","CAH11-01","Computing","CAH11-01-07","Business computing",10,10,"c","c","10","c","c","c","c","c","c","5","c","c","c"
201920,"Tax year","National","K02000001","United Kingdom","2017/2018","1 YAG","First-degree","Male","CAH10-03","Materials and technology","CAH10-03-03","Polymers and textiles",15,10,"c","c","10","c","c","c","c","c","c","5","c","c","c"
202324,"Tax year","National","K02000001","United Kingdom","2021/2022","1 YAG","Level 8","Male","CAH15-01","Sociology, social policy and anthropology","CAH15-01-06","Cultural studies",5,5,"c","c","5","c","c","c","c","c","c","0","c","c","c"
201920,"Tax year","National","K02000001","United Kingdom","2017/2018","1 YAG","Level 7","Female","CAH06-01","Agriculture, food and related studies","CAH06-01-02","Agricultural sciences",10,10,"c","c","10","c","c","c","c","c","c","5","c","c","c"
202324,"Tax year","National","K02000001","United Kingdom","2021/2022","1 YAG","Level 8","Male","CAH10-03","Materials and technology","CAH10-03-04","Maritime technology",0,0,"c","c","c","c","c","c","c","c","c","0","c","c","c"
201718,"Tax year","National","K02000001","United Kingdom","2011/2012","5 YAG","Level 8","Male","CAH25-01","Creative arts and design","CAH25-01-04","Cinematics and photography",10,10,"c","c","10","c","c","c","c","c","c","5","c","c","c"
201718,"Tax year","National","K02000001","United Kingdom","2013/2014","3 YAG","Level 7","Female","CAH11-01","Computing","CAH11-01-04","Software engineering",15,15,"12.5","0","15","14.3","7.1","64.3","78.6","78.6","14.3","10","c","c","c"
202122,"Tax year","National","K02000001","United Kingdom","2015/2016","5 YAG","Level 7","Male","CAH11-01","Computing","CAH11-01-08","Others in computing",20,20,"0","0","20","5.6","2.8","86.1","91.7","91.7","5.6","15","29900","37200","80700"
201920,"Tax year","National","K02000001","United Kingdom","2015/2016","3 YAG","Level 8","Female","CAH10-01","Engineering","CAH10-01-03","Production and manufacturing engineering",10,10,"c","c","10","c","c","c","c","c","c","5","c","c","c"
201819,"Tax year","National","K02000001","United Kingdom","2014/2015","3 YAG","Level 7","Male","CAH25-02","Performing arts","CAH25-02-04","Dance",25,25,"0","11","25","12.3","0","58.8","87.7","87.7","28.8","10","c","c","c"
201718,"Tax year","National","K02000001","United Kingdom","2015/2016","1 YAG","Level 8","Female","CAH10-01","Engineering","CAH10-01-01","Engineering (non-specific)",25,25,"4","6.3","25","8.3","5.6","73.6","86.1","86.1","12.5","15","27000","34500","42000"
202223,"Tax year","National","K02000001","United Kingdom","2018/2019","3 YAG","Level 8","Female","CAH09-01","Mathematical sciences","CAH09-01-02","Operational research",10,10,"c","c","10","c","c","c","c","c","c","10","c","c","c"
201920,"Tax year","National","K02000001","United Kingdom","2013/2014","5 YAG","Level 7","Female","CAH10-03","Materials and technology","CAH10-03-07","Materials science",5,5,"c","c","5","c","c","c","c","c","c","5","c","c","c"
202021,"Tax year","National","K02000001","United Kingdom","2009/2010","10 YAG","Level 8","Female","CAH10-01","Engineering","CAH10-01-08","Electrical and electronic engineering",20,15,"0","10.8","15","24.2","0","69.7","75.8","75.8","6.1","10","c","c","c"
201819,"Tax year","National","K02000001","United Kingdom","2007/2008","10 YAG","Level 7","Female","CAH19-01","English studies","CAH19-01-06","Others in English studies",5,5,"c","c","5","c","c","c","c","c","c","0","c","c","c"
201819,"Tax year","National","K02000001","United Kingdom","2016/2017","1 YAG","Level 8","Female","CAH11-01","Computing","CAH11-01-04","Software engineering",0,0,"c","c","c","c","c","c","c","c","c","0","c","c","c"
202021,"Tax year","National","K02000001","United Kingdom","2009/2010","10 YAG","Level 8","Female","CAH15-02","Economics","CAH15-02-01","Economics",20,20,"5.4","13.9","20","22.8","1.9","69.5","75.2","75.2","5.7","10","c","c","c"
202324,"Tax year","National","K02000001","United Kingdom","2017/2018","5 YAG","Level 8","Female","CAH02-04","Nursing and midwifery","CAH02-04-09","Others in nursing",10,10,"c","c","10","c","c","c","c","c","c","5","c","c","c"
201819,"Tax year","National","K02000001","United Kingdom","2012/2013","5 YAG","Level 8","Male","CAH13-01","Architecture, building and planning","CAH13-01-01","Architecture",30,25,"3.7","6.9","25","19.2","3.8","69.2","76.9","76.9","7.7","20","30300","45400","52900"
202122,"Tax year","National","K02000001","United Kingdom","2015/2016","5 YAG","First-degree","Male","CAH10-03","Materials and technology","CAH10-03-05","Biotechnology",15,15,"0","5.9","15","6.3","12.5","61.5","79.2","81.2","19.8","10","c","c","c"
201819,"Tax year","National","K02000001","United Kingdom","2007/2008","10 YAG","Level 8","Female","CAH20-01","History and archaeology","CAH20-01-02","History of art, architecture and design",25,25,"16.3","0","20","24.4","9.8","65.9","65.9","65.9","0","15","13500","31000","40500"
202223,"Tax year","National","K02000001","United Kingdom","2020/2021","1 YAG","First-degree","Male","CAH04-01","Psychology","CAH04-01-04","Psychology and health",30,30,"0.8","4.8","30","8.5","12.2","24.1","61.5","79.3","55.2","5","c","c","c"
202122,"Tax year","National","K02000001","United Kingdom","2019/2020","1 YAG","Level 8","Male","CAH19-04","Languages and area studies","CAH19-04-01","French studies",15,15,"15.4","0","10","27.3","0","63.6","72.7","72.7","9.1","5","c","c","c"
201920,"Tax year","National","K02000001","United Kingdom","2008/2009","10 YAG","Level 7","Female","CAH10-01","Engineering","CAH10-01-10","Others in engineering",20,20,"11.7","6.2","20","5.7","1.9","81.1","92.5","92.5","11.3","15","28200","41700","60400"
201819,"Tax year","National","K02000001","United Kingdom","2016/2017","1 YAG","Level 8","Female","CAH24-01","Media, journalism and communications","CAH24-01-05","Media studies",30,25,"5","7","25","11.8","7.9","68.4","80.3","80.3","11.8","15","19300","25900","34000"
202223,"Tax year","National","K02000001","United Kingdom","2018/2019","3 YAG","Level 8","Female","CAH13-01","Architecture, building and planning","CAH13-01-04","Planning (urban, rural and regional)",10,10,"c","c","10","c","c","c","c","c","c","10","c","c","c"
202122,"Tax year","National","K02000001","United Kingdom","2010/2011","10 YAG","Level 7","Female","CAH10-03","Materials and technology","CAH10-03-02","Materials technology",20,20,"7.6","17.8","15","12.1","0","87.9","87.9","87.9","0","15","21900","43400","53700"
201920,"Tax year","National","K02000001","United Kingdom","2017/2018","1 YAG","Level 8","Male","CAH25-01","Creative arts and design","CAH25-01-02","Art",20,20,"5.4","0","15","3.9","0","90.3","96.1","96.1","5.8","15","15100","23800","31100"
201718,"Tax year","National","K02000001","United Kingdom","2013/2014","3 YAG","Level 7","Male","CAH04-01","Psychology","CAH04-01-04","Psychology and health",50,50,"0","0","50","2","2","55.5","90","96","40.5","30","21200","26300","36500"
202122,"Tax year","National","K02000001","United Kingdom","2015/2016","5 YAG","Level 8","Female","CAH09-01","Mathematical sciences","CAH09-01-02","Operational research",5,5,"c","c","5","c","c","c","c","c","c","5","c","c","c"
201819,"Tax year","National","K02000001","United Kingdom","2007/2008","10 YAG","Level 7","Male","CAH10-01","Engineering","CAH10-01-06","Bioengineering, medical and biomedical engineering",10,10,"c","c","10","c","c","c","c","c","c","5","c","c","c"
201920,"Tax year","National","K02000001","United Kingdom","2013/2014","5 YAG","Level 8","Female","CAH11-01","Computing","CAH11-01-03","Information systems",5,5,"c","c","5","c","c","c","c","c","c","5","c","c","c"
202122,"Tax year","National","K02000001","United Kingdom","2015/2016","5 YAG","Level 8","Female","CAH03-02","Sport and exercise sciences","CAH03-02-01","Sport and exercise sciences",40,35,"2.7","2.6","35","14","2.8","77.7","80.5","83.3","5.6","25","26300","35000","50700"
202122,"Tax year","National","K02000001","United Kingdom","2017/2018","3 YAG","Level 8","Female","CAH17-01","Business and management","CAH17-01-02","Business studies",65,65,"5.8","1.6","60","8.4","3.4","84.5","88.2","88.2","3.8","50","27000","43400","52900"
201920,"Tax year","National","K02000001","United Kingdom","2017/2018","1 YAG","Level 8","Male","CAH25-01","Creative arts and design","CAH25-01-04","Cinematics and photography",5,5,"c","c","5","c","c","c","c","c","c","5","c","c","c"
201718,"Tax year","National","K02000001","United Kingdom","2006/2007","10 YAG","Level 7","Male","CAH06-01","Agriculture, food and related studies","CAH06-01-05","Forestry and arboriculture",10,10,"c","c","10","c","c","c","c","c","c","5","c","c","c"
201718,"Tax year","National","K02000001","United Kingdom","2006/2007","10 YAG","Level 7","Female","CAH02-04","Nursing and midwifery","CAH02-04-04","Midwifery",45,45,"13","2.1","40","7.5","0","72.5","92.5","92.5","20","25","20100","35000","46000"
202223,"Tax year","National","K02000001","United Kingdom","2018/2019","3 YAG","Level 8","Male","CAH17-01","Business and management","CAH17-01-06","Tourism, transport and travel",5,5,"c","c","5","c","c","c","c","c","c","5","c","c","c"
202021,"Tax year","National","K02000001","United Kingdom","2014/2015","5 YAG","Level 7","Male","CAH23-01","Combined and general studies","CAH23-01-01","Combined, general or negotiated studies",20,20,"4.8","4.5","20","0","5","75","95","95","20","15","18600","34700","51500"
202223,"Tax year","National","K02000001","United Kingdom","2011/2012","10 YAG","Level 8","Male","CAH15-01","Sociology, social policy and anthropology","CAH15-01-01","Social sciences (non-specific)",20,15,"11.8","5.6","15","13.3","6.7","66.7","80","80","13.3","10","c","c","c"
201718,"Tax year","National","K02000001","United Kingdom","2011/2012","5 YAG","Level 8","Female","CAH15-04","Health and social care","CAH15-04-01","Social work",15,15,"0","5.9","15","6.3","6.3","81","87.4","87.4","6.3","10","c","c","c"
202223,"Tax year","National","K02000001","United Kingdom","2016/2017","5 YAG","Level 8","Male","CAH19-01","English studies","CAH19-01-02","English language",5,5,"c","c","5","c","c","c","c","c","c","0","c","c","c"
201819,"Tax year","National","K02000001","United Kingdom","2012/2013","5 YAG","Level 8","Female","CAH02-06","Allied health","CAH02-06-05","Physiotherapy",5,5,"c","c","5","c","c","c","c","c","c","5","c","c","c"
201718,"Tax year","National","K02000001","United Kingdom","2006/2007","10 YAG","Level 8","Female","CAH02-04","Nursing and midwifery","CAH02-04-01","Nursing (non-specific)",45,45,"6.7","2.2","40","7.2","0","85.6","92.8","92.8","7.2","30","31400","43100","54400"
201920,"Tax year","National","K02000001","United Kingdom","2017/2018","1 YAG","Level 8","Female","CAH19-04","Languages and area studies","CAH19-04-02","German and scandinavian studies",5,5,"c","c","5","c","c","c","c","c","c","5","c","c","c"
201819,"Tax year","National","K02000001","United Kingdom","2014/2015","3 YAG","Level 8","Male","CAH25-01","Creative arts and design","CAH25-01-02","Art",20,15,"7.1","26.1","15","22.8","7.6","46.9","69.7","69.7","22.8","5","c","c","c"
201718,"Tax year","National","K02000001","United Kingdom","2006/2007","10 YAG","Level 8","Male","CAH02-06","Allied health","CAH02-06-06","Complementary and alternative medicine",0,0,"c","c","c","c","c","c","c","c","c","0","c","c","c"
201718,"Tax year","National","K02000001","United Kingdom","2013/2014","3 YAG","Level 8","Female","CAH17-01","Business and management","CAH17-01-05","Human resource management",10,10,"c","c","10","c","c","c","c","c","c","5","c","c","c"
202324,"Tax year","National","K02000001","United Kingdom","2019/2020","3 YAG","Level 8","Female","CAH17-01","Business and management","CAH17-01-01","Business and management (non-specific)",20,20,"4.5","0","20","0","4.8","81","95.2","95.2","14.3","15","41200","46100","57300"
201718,"Tax year","National","K02000001","United Kingdom","2006/2007","10 YAG","Level 8","Male","CAH22-01","Education and teaching","CAH22-01-02","Teacher training",0,0,"c","c","c","c","c","c","c","c","c","0","c","c","c"
202223,"Tax year","National","K02000001","United Kingdom","2016/2017","5 YAG","Level 8","Female","CAH04-01","Psychology","CAH04-01-02","Applied psychology",20,15,"6.1","5.7","15","0","0","100","100","100","0","15","31900","40500","49300"
201718,"Tax year","National","K02000001","United Kingdom","2011/2012","5 YAG","Level 8","Male","CAH13-01","Architecture, building and planning","CAH13-01-02","Building",10,10,"c","c","10","c","c","c","c","c","c","10","c","c","c"
201718,"Tax year","National","K02000001","United Kingdom","2013/2014","3 YAG","Level 8","Male","CAH19-01","English studies","CAH19-01-03","Literature in English",30,30,"3.6","0","25","14.8","0","81.5","85.2","85.2","3.7","20","19200","25200","31000"
202324,"Tax year","National","K02000001","United Kingdom","2019/2020","3 YAG","First-degree","Female","CAH20-01","History and archaeology","CAH20-01-04","Heritage studies",10,10,"c","c","10","c","c","c","c","c","c","10","c","c","c"
202324,"Tax year","National","K02000001","United Kingdom","2017/2018","5 YAG","Level 8","Female","CAH15-01","Sociology, social policy and anthropology","CAH15-01-05","Development studies",10,10,"c","c","10","c","c","c","c","c","c","5","c","c","c"
202021,"Tax year","National","K02000001","United Kingdom","2016/2017","3 YAG","Level 7","Male","CAH19-04","Languages and area studies","CAH19-04-07","African and modern middle eastern studies",35,35,"3","1.5","35","11.7","4.1","55.6","71.9","84.2","28.6","15","23400","32500","44900"
202223,"Tax year","National","K02000001","United Kingdom","2020/2021","1 YAG","Level 8","Male","CAH25-01","Creative arts and design","CAH25-01-03","Design studies",15,10,"c","c","10","c","c","c","c","c","c","10","c","c","c"
201920,"Tax year","National","K02000001","United Kingdom","2015/2016","3 YAG","Level 7","Male","CAH11-01","Computing","CAH11-01-08","Others in computing",20,20,"0","0","20","16.7","8.3","75","75","75","0","15","11700","33700","45400"
202223,"Tax year","National","K02000001","United Kingdom","2020/2021","1 YAG","Level 7","Male","CAH02-04","Nursing and midwifery","CAH02-04-08","Learning disabilities nursing",10,10,"c","c","10","c","c","c","c","c","c","5","c","c","c"
202021,"Tax year","National","K02000001","United Kingdom","2016/2017","3 YAG","Level 7","Female","CAH26-01","Geography, earth and environmental studies","CAH26-01-05","Others in geographical studies",25,25,"0","0","25","14.7","3.7","52.3","78","81.7","29.4","15","25600","33200","39100"
202324,"Tax year","National","K02000001","United Kingdom","2021/2022","1 YAG","Level 8","Female","CAH19-01","English studies","CAH19-01-05","Creative writing",25,25,"13","4.1","20","5","5.5","89.6","89.6","89.6","0","15","16100","28500","35100"
202021,"Tax year","National","K02000001","United Kingdom","2014/2015","5 YAG","Level 7","Male","CAH02-06","Allied health","CAH02-06-02","Nutrition and dietetics",60,55,"0","5.2","55","8.3","0","79.8","91.7","91.7","11.9","40","21700","29900","40500"
201718,"Tax year","National","K02000001","United Kingdom","2013/2014","3 YAG","Level 8","Female","CAH19-04","Languages and area studies","CAH19-04-06","Asian studies",0,0,"c","c","c","c","c","c","c","c","c","0","c","c","c"
201920,"Tax year","National","K02000001","United Kingdom","2008/2009","10 YAG","Level 8","Female","CAH15-01","Sociology, social policy and anthropology","CAH15-01-01","Social sciences (non-specific)",25,25,"4.3","0","20","6.7","4.4","80","88.9","88.9","8.9","15","27800","32700","54200"
202223,"Tax year","National","K02000001","United Kingdom","2020/2021","1 YAG","Level 8","Female","CAH17-01","Business and management","CAH17-01-04","Management studies",50,50,"4.1","3","45","8.6","2.2","74.9","88.2","89.2","14.3","35","28500","39400","55100"
202324,"Tax year","National","K02000001","United Kingdom","2019/2020","3 YAG","First-degree","Female","CAH24-01","Media, journalism and communications","CAH24-01-01","Information services",40,40,"0","1.2","40","3.6","12.1","81.1","83.5","84.3","3.2","35","20100","24900","31500"
201718,"Tax year","National","K02000001","United Kingdom","2013/2014","3 YAG","Level 8","Female","CAH25-01","Creative arts and design","CAH25-01-05","Others in creative arts and design",20,20,"0","4.8","20","10","0","75","90","90","15","15","20100","24700","34900"
201718,"Tax year","National","K02000001","United Kingdom","2015/2016","1 YAG","First-degree","Male","CAH06-01","Agriculture, food and related studies","CAH06-01-08","Food and beverage production",15,15,"3.6","9.7","15","3.7","3.7","77.8","85.2","92.6","14.8","10","c","c","c"
201819,"Tax year","National","K02000001","United Kingdom","2014/2015","3 YAG","Level 8","Male","CAH01-01","Medicine and dentistry","CAH01-01-04","Dentistry",15,15,"0","0","15","0","11.8","70.6","88.2","88.2","17.6","10","c","c","c"
202021,"Tax year","National","K02000001","United Kingdom","2014/2015","5 YAG","Level 8","Female","CAH15-01","Sociology, social policy and anthropology","CAH15-01-01","Social sciences (non-specific)",25,25,"8.6","4.1","20","4.7","4.7","85.8","90.6","90.6","4.7","15","18200","39100","44200"
201718,"Tax year","National","K02000001","United Kingdom","2015/2016","1 YAG","Level 8","Male","CAH02-02","Pharmacology, toxicology and pharmacy","CAH02-02-03","Pharmacy",35,30,"3.2","11.4","30","3.3","6.7","80","86.7","90","10","25","28800","34700","41600"
202223,"Tax year","National","K02000001","United Kingdom","2020/2021","1 YAG","Level 7","Male","CAH23-01","Combined and general studies","CAH23-01-04","Liberal arts (non-specific)",5,5,"c","c","5","c","c","c","c","c","c","5","c","c","c"
201920,"Tax year","National","K02000001","United Kingdom","2008/2009","10 YAG","First-degree","Male","CAH06-01","Agriculture, food and related studies","CAH06-01-05","Forestry and arboriculture",20,20,"0","4.7","20","0","0","92.6","100","100","7.4","15","19400","31500","35700"
201819,"Tax year","National","K02000001","United Kingdom","2016/2017","1 YAG","Level 7","Female","CAH19-02","Celtic studies","CAH19-02-01","Celtic studies (non-specific)",5,5,"c","c","5","c","c","c","c","c","c","0","c","c","c"
202324,"Tax year","National","K02000001","United Kingdom","2019/2020","3 YAG","Level 8","Male","CAH24-01","Media, journalism and communications","CAH24-01-05","Media studies",40,40,"5.1","3.7","35","13","8.9","72.8","78.1","78.1","5.4","25","18300","37000","45400"
202021,"Tax year","National","K02000001","United Kingdom","2016/2017","3 YAG","Level 8","Female","CAH02-02","Pharmacology, toxicology and pharmacy","CAH02-02-01","Pharmacology",25,25,"12.7","0","20","13.7","4.8","72.6","79.1","81.5","8.9","15","32100","40500","48200"
202223,"Tax year","National","K02000001","United Kingdom","2011/2012","10 YAG","First-degree","Female","CAH26-01","Geography, earth and environmental studies","CAH26-01-05","Others in geographical studies",5,0,"c","c","c","c","c","c","c","c","c","0","c","c","c"
202324,"Tax year","National","K02000001","United Kingdom","2021/2022","1 YAG","Level 7","Male","CAH19-01","English studies","CAH19-01-04","Studies of specific authors",10,10,"c","c","10","c","c","c","c","c","c","5","c","c","c"
202021,"Tax year","National","K02000001","United Kingdom","2016/2017","3 YAG","Level 8","Female","CAH19-04","Languages and area studies","CAH19-04-02","German and scandinavian studies",10,10,"c","c","10","c","c","c","c","c","c","5","c","c","c"
202223,"Tax year","National","K02000001","United Kingdom","2016/2017","5 YAG","Level 8","Female","CAH07-01","Physics and astronomy","CAH07-01-02","Astronomy",10,10,"c","c","10","c","c","c","c","c","c","10","c","c","c"
201718,"Tax year","National","K02000001","United Kingdom","2011/2012","5 YAG","Level 8","Male","CAH11-01","Computing","CAH11-01-03","Information systems",30,30,"3.4","1.7","30","22.8","7","66.7","70.2","70.2","3.5","20","30700","46400","73400"
202122,"Tax year","National","K02000001","United Kingdom","2010/2011","10 YAG","Level 8","Female","CAH19-01","English studies","CAH19-01-05","Creative writing",5,5,"c","c","5","c","c","c","c","c","c","5","c","c","c"
201819,"Tax year","National","K02000001","United Kingdom","2012/2013","5 YAG","Level 8","Male","CAH10-03","Materials and technology","CAH10-03-07","Materials science",30,25,"0","11.7","25","5.7","1.9","92.5","92.5","92.5","0","25","34300","37600","47100"
202324,"Tax year","National","K02000001","United Kingdom","2012/2013","10 YAG","Level 8","Male","CAH17-01","Business and management","CAH17-01-08","Accounting",5,5,"c","c","5","c","c","c","c","c","c","5","c","c","c"
202324,"Tax year","National","K02000001","United Kingdom","2012/2013","10 YAG","Level 7","Female","CAH10-01","Engineering","CAH10-01-01","Engineering (non-specific)",45,40,"13.8","5.4","35","10.9","0","84.4","89.1","89.1","4.7","30","32200","54500","76900"
201718,"Tax year","National","K02000001","United Kingdom","2011/2012","5 YAG","Level 8","Female","CAH10-01","Engineering","CAH10-01-01","Engineering (non-specific)",20,20,"9.8","0","20","21.8","0","70","78.2","78.2","8.2","15","29600","41600","65000"
202021,"Tax year","National","K02000001","United Kingdom","2014/2015","5 YAG","Level 8","Female","CAH02-06","Allied health","CAH02-06-04","Environmental and public health",5,5,"c","c","5","c","c","c","c","c","c","5","c","c","c"
201819,"Tax year","National","K02000001","United Kingdom","2007/2008","10 YAG","Level 7","Female","CAH19-04","Languages and area studies","CAH19-04-02","German and scandinavian studies",10,10,"c","c","10","c","c","c","c","c","c","10","c","c","c"
201819,"Tax year","National","K02000001","United Kingdom","2012/2013","5 YAG","Level 7","Female","CAH06-01","Agriculture, food and related studies","CAH06-01-03","Agriculture",20,20,"10.3","0","20","2.9","5.7","80","91.4","91.4","11.4","10","c","c","c"
202223,"Tax year","National","K02000001","United Kingdom","2011/2012","10 YAG","First-degree","Male","CAH06-01","Agriculture, food and related studies","CAH06-01-07","Food sciences",15,15,"8.8","0","15","12.9","0","74.2","87.1","87.1","12.9","10","c","c","c"
201819,"Tax year","National","K02000001","United Kingdom","2012/2013","5 YAG","Level 7","Female","CAH10-03","Materials and technology","CAH10-03-05","Biotechnology",25,20,"0","4.4","20","0","9.2","74.6","90.8","90.8","16.2","15","20800","25600","32500"
202223,"Tax year","National","K02000001","United Kingdom","2016/2017","5 YAG","Level 8","Male","CAH19-01","English studies","CAH19-01-06","Others in English studies",0,0,"c","c","c","c","c","c","c","c","c","0","c","c","c"
201718,"Tax year","National","K02000001","United Kingdom","2015/2016","1 YAG","Level 8","Male","CAH03-01","Biosciences","CAH03-01-06","Zoology",20,15,"6.5","12.3","15","27.6","0","72.4","72.4","72.4","0","10","c","c","c"
201819,"Tax year","National","K02000001","United Kingdom","2012/2013","5 YAG","Level 7","Female","CAH07-01","Physics and astronomy","CAH07-01-02","Astronomy",10,10,"c","c","10","c","c","c","c","c","c","5","c","c","c"
201718,"Tax year","National","K02000001","United Kingdom","2011/2012","5 YAG","Level 7","Female","CAH10-03","Materials and technology","CAH10-03-05","Biotechnology",20,15,"5.9","5.6","15","0","6.2","71.9","84.4","93.8","21.9","10","c","c","c"
202021,"Tax year","National","K02000001","United Kingdom","2016/2017","3 YAG","First-degree","Male","CAH02-04","Nursing and midwifery","CAH02-04-03","Community nursing",25,25,"0","0","25","0","0","69.1","100","100","30.9","15","34700","39400","46000"
202021,"Tax year","National","K02000001","United Kingdom","2018/2019","1 YAG","Level 7","Male","CAH06-01","Agriculture, food and related studies","CAH06-01-08","Food and beverage production",15,15,"0","0","15","6.2","12.5","68.8","81.2","81.2","12.5","10","c","c","c"
202324,"Tax year","National","K02000001","United Kingdom","2017/2018","5 YAG","Level 8","Male","CAH23-01","Combined and general studies","CAH23-01-03","Humanities (non-specific)",5,5,"c","c","5","c","c","c","c","c","c","5","c","c","c"
202122,"Tax year","National","K02000001","United Kingdom","2017/2018","3 YAG","Level 8","Female","CAH02-06","Allied health","CAH02-06-03","Ophthalmics",10,10,"c","c","10","c","c","c","c","c","c","5","c","c","c"
201718,"Tax year","National","K02000001","United Kingdom","2013/2014","3 YAG","Level 8","Female","CAH17-01","Business and management","CAH17-01-02","Business studies",55,50,"6.2","7.1","50","9.2","0","80.6","88.8","90.8","10.2","40","28100","40700","52600"
202122,"Tax year","National","K02000001","United Kingdom","2015/2016","5 YAG","Level 8","Male","CAH02-06","Allied health","CAH02-06-04","Environmental and public health",5,5,"c","c","0","c","c","c","c","c","c","0","c","c","c"
201819,"Tax year","National","K02000001","United Kingdom","2012/2013","5 YAG","Level 8","Female","CAH19-04","Languages and area studies","CAH19-04-05","Slavic studies",10,5,"c","c","5","c","c","c","c","c","c","5","c","c","c"
202324,"Tax year","National","K02000001","United Kingdom","2017/2018","5 YAG","Level 8","Male","CAH09-01","Mathematical sciences","CAH09-01-03","Statistics",30,25,"3.8","8.6","25","0","2","96.1","98","98","2","25","49800","54500","83400"
202223,"Tax year","National","K02000001","United Kingdom","2020/2021","1 YAG","Level 8","Male","CAH19-01","English studies","CAH19-01-02","English language",0,0,"c","c","c","c","c","c","c","c","c","0","c","c","c"
202324,"Tax year","National","K02000001","United Kingdom","2017/2018","5 YAG","Level 8","Female","CAH10-01","Engineering","CAH10-01-04","Aeronautical and aerospace engineering",5,5,"c","c","5","c","c","c","c","c","c","0","c","c","c"
201718,"Tax year","National","K02000001","United Kingdom","2011/2012","5 YAG","Level 8","Female","CAH26-01","Geography, earth and environmental studies","CAH26-01-03","Human geography",50,45,"8.6","4.1","40","9.4","5.9","82.4","84.7","84.7","2.4","35","24400","32500","37400"
201718,"Tax year","National","K02000001","United Kingdom","2013/2014","3 YAG","Level 8","Female","CAH17-01","Business and management","CAH17-01-08","Accounting",5,5,"c","c","5","c","c","c","c","c","c","5","c","c","c"
201718,"Tax year","National","K02000001","United Kingdom","2013/2014","3 YAG","Level 8","Male","CAH04-01","Psychology","CAH04-01-03","Developmental psychology",15,15,"0","13.5","15","7.8","0","92.2","92.2","92.2","0","10","c","c","c"
201920,"Tax year","National","K02000001","United Kingdom","2017/2018","1 YAG","Level 7","Female","CAH19-02","Celtic studies","CAH19-02-01","Celtic studies (non-specific)",5,5,"c","c","5","c","c","c","c","c","c","5","c","c","c"
201718,"Tax year","National","K02000001","United Kingdom","2013/2014","3 YAG","Level 8","Female","CAH10-03","Materials and technology","CAH10-03-03","Polymers and textiles",5,5,"c","c","5","c","c","c","c","c","c","5","c","c","c"
201819,"Tax year","National","K02000001","United Kingdom","2012/2013","5 YAG","Level 7","Female","CAH24-01","Media, journalism and communications","CAH24-01-02","Publicity studies",70,65,"6","4.3","60","7.2","4.8","81.5","86.4","88","6.4","50","27400","36500","49300"
