Year,Subject group HECoS CAH1,Subject group HECoS CAH3,POLAR4 Quintile,Main scheme applicant,Main scheme application,Accepted applicants
2024,(CAH10) engineering and technology,(CAH10-01-03) production and manufacturing engineering,Quintile 1,All,All,255
2019,(CAH10) engineering and technology,(CAH10-01-04) aeronautical and aerospace engineering,Quintile 1,All,All,305
2020,(CAH10) engineering and technology,(CAH10-01-04) aeronautical and aerospace engineering,Quintile 1,All,All,335
2021,(CAH10) engineering and technology,(CAH10-01-04) aeronautical and aerospace engineering,Quintile 1,All,All,370
2022,(CAH10) engineering and technology,(CAH10-01-04) aeronautical and aerospace engineering,Quintile 1,All,All,350
2023,(CAH10) engineering and technology,(CAH10-01-04) aeronautical and aerospace engineering,Quintile 1,All,All,350
2024,(CAH10) engineering and technology,(CAH10-01-04) aeronautical and aerospace engineering,Quintile 1,All,All,445
2019,(CAH10) engineering and technology,(CAH10-01-08) electrical and electronic engineering,Quintile 1,All,All,330
2020,(CAH10) engineering and technology,(CAH10-01-08) electrical and electronic engineering,Quintile 1,All,All,420
2021,(CAH10) engineering and technology,(CAH10-01-08) electrical and electronic engineering,Quintile 1,All,All,425
2022,(CAH10) engineering and technology,(CAH10-01-08) electrical and electronic engineering,Quintile 1,All,All,435
2023,(CAH10) engineering and technology,(CAH10-01-08) electrical and electronic engineering,Quintile 1,All,All,395
2024,(CAH10) engineering and technology,(CAH10-01-08) electrical and electronic engineering,Quintile 1,All,All,440
2019,(CAH10) engineering and technology,(CAH10-01-07) civil engineering,Quintile 1,All,All,325
2020,(CAH10) engineering and technology,(CAH10-01-07) civil engineering,Quintile 1,All,All,370
2021,(CAH10) engineering and technology,(CAH10-01-07) civil engineering,Quintile 1,All,All,410
2022,(CAH10) engineering and technology,(CAH10-01-07) civil engineering,Quintile 1,All,All,340
2023,(CAH10) engineering and technology,(CAH10-01-07) civil engineering,Quintile 1,All,All,325
2024,(CAH10) engineering and technology,(CAH10-01-07) civil engineering,Quintile 1,All,All,355
2019,(CAH10) engineering and technology,(CAH10-03-05) biotechnology,Quintile 1,All,All,10
2020,(CAH10) engineering and technology,(CAH10-03-05) biotechnology,Quintile 1,All,All,20
2021,(CAH10) engineering and technology,(CAH10-03-05) biotechnology,Quintile 1,All,All,5
2022,(CAH10) engineering and technology,(CAH10-03-05) biotechnology,Quintile 1,All,All,10
2023,(CAH10) engineering and technology,(CAH10-03-05) biotechnology,Quintile 1,All,All,20
2024,(CAH10) engineering and technology,(CAH10-03-05) biotechnology,Quintile 1,All,All,20
2019,(CAH10) engineering and technology,"(CAH10-01-09) chemical, process and energy engineering",Quintile 1,All,All,175
2020,(CAH10) engineering and technology,"(CAH10-01-09) chemical, process and energy engineering",Quintile 1,All,All,195
2021,(CAH10) engineering and technology,"(CAH10-01-09) chemical, process and energy engineering",Quintile 1,All,All,145
2022,(CAH10) engineering and technology,"(CAH10-01-09) chemical, process and energy engineering",Quintile 1,All,All,170
2023,(CAH10) engineering and technology,"(CAH10-01-09) chemical, process and energy engineering",Quintile 1,All,All,175
