Year,Subject group HECoS CAH1,Subject group HECoS CAH3,POLAR4 Quintile,Main scheme applicant,Main scheme application,Accepted applicants
2023,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 3,All,All,1640
2024,"(CAH25) design, and creative and performing arts",(CAH25-01-04) cinematics and photography,Quintile 3,All,All,1620
2019,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 3,All,All,760
2020,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 3,All,All,735
2021,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 3,All,All,725
2022,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 3,All,All,780
2023,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 3,All,All,710
2024,"(CAH25) design, and creative and performing arts",(CAH25-01-02) art,Quintile 3,All,All,710
2019,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 3,All,All,1045
2020,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 3,All,All,1035
2021,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 3,All,All,1085
2022,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 3,All,All,1015
2023,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 3,All,All,970
2024,"(CAH25) design, and creative and performing arts",(CAH25-02-03) drama,Quintile 3,All,All,1030
2019,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 3,All,All,205
2020,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 3,All,All,195
2021,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 3,All,All,235
2022,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 3,All,All,225
2023,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 3,All,All,235
2024,"(CAH25) design, and creative and performing arts",(CAH25-02-04) dance,Quintile 3,All,All,215
2019,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 3,All,All,145
2020,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 3,All,All,120
2021,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 3,All,All,110
2022,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 3,All,All,85
2023,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 3,All,All,80
2024,"(CAH25) design, and creative and performing arts",(CAH25-02-01) performing arts (non-specific),Quintile 3,All,All,75
2019,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 3,All,All,195
2020,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 3,All,All,220
2021,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 3,All,All,200
2022,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 3,All,All,170
2023,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 3,All,All,155
2024,"(CAH25) design, and creative and performing arts",(CAH25-01-05) others in creative arts and design,Quintile 3,All,All,140
2019,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 3,All,All,125
2020,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 3,All,All,160
2021,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 3,All,All,145
2022,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 3,All,All,150
2023,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 3,All,All,140
2024,"(CAH25) design, and creative and performing arts",(CAH25-01-01) creative arts and design (non-specific),Quintile 3,All,All,170
2019,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 3,All,All,165
2020,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 3,All,All,155
2021,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 3,All,All,190
2022,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 3,All,All,210
2023,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 3,All,All,200
2024,(CAH10) engineering and technology,"(CAH10-01-06) bioengineering, medical and biomedical engineering",Quintile 3,All,All,185
2019,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 3,All,All,25
2020,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 3,All,All,25
2021,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 3,All,All,20
2022,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 3,All,All,25
2023,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 3,All,All,35
2024,(CAH10) engineering and technology,(CAH10-03-02) materials technology,Quintile 3,All,All,30
2019,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 3,All,All,150
2020,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 3,All,All,145
2021,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 3,All,All,175
2022,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 3,All,All,180
2023,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 3,All,All,160
2024,(CAH10) engineering and technology,(CAH10-03-06) others in technology,Quintile 3,All,All,190
2019,(CAH10) engineering and technology,(CAH10-01-03) production and manufacturing engineering,Quintile 3,All,All,280
2020,(CAH10) engineering and technology,(CAH10-01-03) production and manufacturing engineering,Quintile 3,All,All,335
2021,(CAH10) engineering and technology,(CAH10-01-03) production and manufacturing engineering,Quintile 3,All,All,320
2022,(CAH10) engineering and technology,(CAH10-01-03) production and manufacturing engineering,Quintile 3,All,All,360
2023,(CAH10) engineering and technology,(CAH10-01-03) production and manufacturing engineering,Quintile 3,All,All,340
2024,(CAH10) engineering and technology,(CAH10-01-03) production and manufacturing engineering,Quintile 3,All,All,375
2019,(CAH10) engineering and technology,(CAH10-01-04) aeronautical and aerospace engineering,Quintile 3,All,All,495
2020,(CAH10) engineering and technology,(CAH10-01-04) aeronautical and aerospace engineering,Quintile 3,All,All,555
2021,(CAH10) engineering and technology,(CAH10-01-04) aeronautical and aerospace engineering,Quintile 3,All,All,625
2022,(CAH10) engineering and technology,(CAH10-01-04) aeronautical and aerospace engineering,Quintile 3,All,All,570
2023,(CAH10) engineering and technology,(CAH10-01-04) aeronautical and aerospace engineering,Quintile 3,All,All,600
2024,(CAH10) engineering and technology,(CAH10-01-04) aeronautical and aerospace engineering,Quintile 3,All,All,635
2019,(CAH10) engineering and technology,(CAH10-01-08) electrical and electronic engineering,Quintile 3,All,All,615
2020,(CAH10) engineering and technology,(CAH10-01-08) electrical and electronic engineering,Quintile 3,All,All,595
2021,(CAH10) engineering and technology,(CAH10-01-08) electrical and electronic engineering,Quintile 3,All,All,630
2022,(CAH10) engineering and technology,(CAH10-01-08) electrical and electronic engineering,Quintile 3,All,All,640
2023,(CAH10) engineering and technology,(CAH10-01-08) electrical and electronic engineering,Quintile 3,All,All,685
2024,(CAH10) engineering and technology,(CAH10-01-08) electrical and electronic engineering,Quintile 3,All,All,675
2019,(CAH10) engineering and technology,(CAH10-01-07) civil engineering,Quintile 3,All,All,660
2020,(CAH10) engineering and technology,(CAH10-01-07) civil engineering,Quintile 3,All,All,670
2021,(CAH10) engineering and technology,(CAH10-01-07) civil engineering,Quintile 3,All,All,720
2022,(CAH10) engineering and technology,(CAH10-01-07) civil engineering,Quintile 3,All,All,670
2023,(CAH10) engineering and technology,(CAH10-01-07) civil engineering,Quintile 3,All,All,620
2024,(CAH10) engineering and technology,(CAH10-01-07) civil engineering,Quintile 3,All,All,630
2019,(CAH10) engineering and technology,(CAH10-03-05) biotechnology,Quintile 3,All,All,25
2020,(CAH10) engineering and technology,(CAH10-03-05) biotechnology,Quintile 3,All,All,15
2021,(CAH10) engineering and technology,(CAH10-03-05) biotechnology,Quintile 3,All,All,25
2022,(CAH10) engineering and technology,(CAH10-03-05) biotechnology,Quintile 3,All,All,25
2023,(CAH10) engineering and technology,(CAH10-03-05) biotechnology,Quintile 3,All,All,20
2024,(CAH10) engineering and technology,(CAH10-03-05) biotechnology,Quintile 3,All,All,20
2019,(CAH10) engineering and technology,"(CAH10-01-09) chemical, process and energy engineering",Quintile 3,All,All,360
2020,(CAH10) engineering and technology,"(CAH10-01-09) chemical, process and energy engineering",Quintile 3,All,All,350
2021,(CAH10) engineering and technology,"(CAH10-01-09) chemical, process and energy engineering",Quintile 3,All,All,355
2022,(CAH10) engineering and technology,"(CAH10-01-09) chemical, process and energy engineering",Quintile 3,All,All,295
2023,(CAH10) engineering and technology,"(CAH10-01-09) chemical, process and energy engineering",Quintile 3,All,All,330
2024,(CAH10) engineering and technology,"(CAH10-01-09) chemical, process and energy engineering",Quintile 3,All,All,355
2019,(CAH10) engineering and technology,(CAH10-03-03) polymers and textiles,Quintile 3,All,All,5
2020,(CAH10) engineering and technology,(CAH10-03-03) polymers and textiles,Quintile 3,All,All,5
2021,(CAH10) engineering and technology,(CAH10-03-03) polymers and textiles,Quintile 3,All,All,10
2022,(CAH10) engineering and technology,(CAH10-03-03) polymers and textiles,Quintile 3,All,All,10
2023,(CAH10) engineering and technology,(CAH10-03-03) polymers and textiles,Quintile 3,All,All,15
2024,(CAH10) engineering and technology,(CAH10-03-03) polymers and textiles,Quintile 3,All,All,5
2024,(CAH10) engineering and technology,(CAH10-03-01) minerals technology,Quintile 3,All,All,5
2019,(CAH10) engineering and technology,(CAH10-01-01) engineering (non-specific),Quintile 3,All,All,665
2020,(CAH10) engineering and technology,(CAH10-01-01) engineering (non-specific),Quintile 3,All,All,640
2021,(CAH10) engineering and technology,(CAH10-01-01) engineering (non-specific),Quintile 3,All,All,695
2022,(CAH10) engineering and technology,(CAH10-01-01) engineering (non-specific),Quintile 3,All,All,620
2023,(CAH10) engineering and technology,(CAH10-01-01) engineering (non-specific),Quintile 3,All,All,605
2024,(CAH10) engineering and technology,(CAH10-01-01) engineering (non-specific),Quintile 3,All,All,635
2019,(CAH10) engineering and technology,(CAH10-01-10) others in engineering,Quintile 3,All,All,10
2020,(CAH10) engineering and technology,(CAH10-01-10) others in engineering,Quintile 3,All,All,5
2019,(CAH10) engineering and technology,(CAH10-01-02) mechanical engineering,Quintile 3,All,All,1085
2020,(CAH10) engineering and technology,(CAH10-01-02) mechanical engineering,Quintile 3,All,All,1185
2021,(CAH10) engineering and technology,(CAH10-01-02) mechanical engineering,Quintile 3,All,All,1170
2022,(CAH10) engineering and technology,(CAH10-01-02) mechanical engineering,Quintile 3,All,All,1100
2023,(CAH10) engineering and technology,(CAH10-01-02) mechanical engineering,Quintile 3,All,All,1110
2024,(CAH10) engineering and technology,(CAH10-01-02) mechanical engineering,Quintile 3,All,All,1230
2019,(CAH10) engineering and technology,(CAH10-03-04) maritime technology,Quintile 3,All,All,10
2020,(CAH10) engineering and technology,(CAH10-03-04) maritime technology,Quintile 3,All,All,25
2021,(CAH10) engineering and technology,(CAH10-03-04) maritime technology,Quintile 3,All,All,15
2022,(CAH10) engineering and technology,(CAH10-03-04) maritime technology,Quintile 3,All,All,15
2023,(CAH10) engineering and technology,(CAH10-03-04) maritime technology,Quintile 3,All,All,10
2024,(CAH10) engineering and technology,(CAH10-03-04) maritime technology,Quintile 3,All,All,15
2019,(CAH10) engineering and technology,(CAH10-01-05) naval architecture,Quintile 3,All,All,5
2020,(CAH10) engineering and technology,(CAH10-01-05) naval architecture,Quintile 3,All,All,10
2021,(CAH10) engineering and technology,(CAH10-01-05) naval architecture,Quintile 3,All,All,10
2022,(CAH10) engineering and technology,(CAH10-01-05) naval architecture,Quintile 3,All,All,5
2023,(CAH10) engineering and technology,(CAH10-01-05) naval architecture,Quintile 3,All,All,10
2024,(CAH10) engineering and technology,(CAH10-01-05) naval architecture,Quintile 3,All,All,10
2019,(CAH10) engineering and technology,(CAH10-03-07) materials science,Quintile 3,All,All,25
2020,(CAH10) engineering and technology,(CAH10-03-07) materials science,Quintile 3,All,All,30
2021,(CAH10) engineering and technology,(CAH10-03-07) materials science,Quintile 3,All,All,20
2022,(CAH10) engineering and technology,(CAH10-03-07) materials science,Quintile 3,All,All,20
2023,(CAH10) engineering and technology,(CAH10-03-07) materials science,Quintile 3,All,All,20
2024,(CAH10) engineering and technology,(CAH10-03-07) materials science,Quintile 3,All,All,15
2019,(CAH02) subjects allied to medicine,(CAH02-06-03) ophthalmics,Quintile 3,All,All,270
2020,(CAH02) subjects allied to medicine,(CAH02-06-03) ophthalmics,Quintile 3,All,All,300
2021,(CAH02) subjects allied to medicine,(CAH02-06-03) ophthalmics,Quintile 3,All,All,295
2022,(CAH02) subjects allied to medicine,(CAH02-06-03) ophthalmics,Quintile 3,All,All,270
2023,(CAH02) subjects allied to medicine,(CAH02-06-03) ophthalmics,Quintile 3,All,All,310
2024,(CAH02) subjects allied to medicine,(CAH02-06-03) ophthalmics,Quintile 3,All,All,305
2019,(CAH02) subjects allied to medicine,"(CAH02-05-04) anatomy, physiology and pathology",Quintile 3,All,All,130
2020,(CAH02) subjects allied to medicine,"(CAH02-05-04) anatomy, physiology and pathology",Quintile 3,All,All,145
2021,(CAH02) subjects allied to medicine,"(CAH02-05-04) anatomy, physiology and pathology",Quintile 3,All,All,170
2022,(CAH02) subjects allied to medicine,"(CAH02-05-04) anatomy, physiology and pathology",Quintile 3,All,All,135
2023,(CAH02) subjects allied to medicine,"(CAH02-05-04) anatomy, physiology and pathology",Quintile 3,All,All,130
2024,(CAH02) subjects allied to medicine,"(CAH02-05-04) anatomy, physiology and pathology",Quintile 3,All,All,125
2019,(CAH02) subjects allied to medicine,(CAH02-05-01) medical technology,Quintile 3,All,All,380
2020,(CAH02) subjects allied to medicine,(CAH02-05-01) medical technology,Quintile 3,All,All,455
2021,(CAH02) subjects allied to medicine,(CAH02-05-01) medical technology,Quintile 3,All,All,465
2022,(CAH02) subjects allied to medicine,(CAH02-05-01) medical technology,Quintile 3,All,All,455
2023,(CAH02) subjects allied to medicine,(CAH02-05-01) medical technology,Quintile 3,All,All,435
2024,(CAH02) subjects allied to medicine,(CAH02-05-01) medical technology,Quintile 3,All,All,565
2019,(CAH02) subjects allied to medicine,(CAH02-06-06) complementary and alternative medicine,Quintile 3,All,All,200
2020,(CAH02) subjects allied to medicine,(CAH02-06-06) complementary and alternative medicine,Quintile 3,All,All,230
2021,(CAH02) subjects allied to medicine,(CAH02-06-06) complementary and alternative medicine,Quintile 3,All,All,265
2022,(CAH02) subjects allied to medicine,(CAH02-06-06) complementary and alternative medicine,Quintile 3,All,All,245
2023,(CAH02) subjects allied to medicine,(CAH02-06-06) complementary and alternative medicine,Quintile 3,All,All,175
2024,(CAH02) subjects allied to medicine,(CAH02-06-06) complementary and alternative medicine,Quintile 3,All,All,215
2019,(CAH02) subjects allied to medicine,(CAH02-06-01) health sciences (non-specific),Quintile 3,All,All,1065
2020,(CAH02) subjects allied to medicine,(CAH02-06-01) health sciences (non-specific),Quintile 3,All,All,1275
2021,(CAH02) subjects allied to medicine,(CAH02-06-01) health sciences (non-specific),Quintile 3,All,All,1345
2022,(CAH02) subjects allied to medicine,(CAH02-06-01) health sciences (non-specific),Quintile 3,All,All,1295
2023,(CAH02) subjects allied to medicine,(CAH02-06-01) health sciences (non-specific),Quintile 3,All,All,1340
2024,(CAH02) subjects allied to medicine,(CAH02-06-01) health sciences (non-specific),Quintile 3,All,All,1310
2019,(CAH02) subjects allied to medicine,(CAH02-06-02) nutrition and dietetics,Quintile 3,All,All,260
2020,(CAH02) subjects allied to medicine,(CAH02-06-02) nutrition and dietetics,Quintile 3,All,All,250
2021,(CAH02) subjects allied to medicine,(CAH02-06-02) nutrition and dietetics,Quintile 3,All,All,265
2022,(CAH02) subjects allied to medicine,(CAH02-06-02) nutrition and dietetics,Quintile 3,All,All,245
2023,(CAH02) subjects allied to medicine,(CAH02-06-02) nutrition and dietetics,Quintile 3,All,All,185
2024,(CAH02) subjects allied to medicine,(CAH02-06-02) nutrition and dietetics,Quintile 3,All,All,180
2019,(CAH02) subjects allied to medicine,(CAH02-06-04) environmental and public health,Quintile 3,All,All,140
2020,(CAH02) subjects allied to medicine,(CAH02-06-04) environmental and public health,Quintile 3,All,All,105
2021,(CAH02) subjects allied to medicine,(CAH02-06-04) environmental and public health,Quintile 3,All,All,130
2022,(CAH02) subjects allied to medicine,(CAH02-06-04) environmental and public health,Quintile 3,All,All,100
2023,(CAH02) subjects allied to medicine,(CAH02-06-04) environmental and public health,Quintile 3,All,All,75
2024,(CAH02) subjects allied to medicine,(CAH02-06-04) environmental and public health,Quintile 3,All,All,85
2019,(CAH02) subjects allied to medicine,"(CAH02-06-07) counselling, psychotherapy and occupational therapy",Quintile 3,All,All,645
2020,(CAH02) subjects allied to medicine,"(CAH02-06-07) counselling, psychotherapy and occupational therapy",Quintile 3,All,All,700
2021,(CAH02) subjects allied to medicine,"(CAH02-06-07) counselling, psychotherapy and occupational therapy",Quintile 3,All,All,710
2022,(CAH02) subjects allied to medicine,"(CAH02-06-07) counselling, psychotherapy and occupational therapy",Quintile 3,All,All,715
2023,(CAH02) subjects allied to medicine,"(CAH02-06-07) counselling, psychotherapy and occupational therapy",Quintile 3,All,All,735
2024,(CAH02) subjects allied to medicine,"(CAH02-06-07) counselling, psychotherapy and occupational therapy",Quintile 3,All,All,765
2019,(CAH02) subjects allied to medicine,(CAH02-02-01) pharmacology,Quintile 3,All,All,180
2020,(CAH02) subjects allied to medicine,(CAH02-02-01) pharmacology,Quintile 3,All,All,160
2021,(CAH02) subjects allied to medicine,(CAH02-02-01) pharmacology,Quintile 3,All,All,230
2022,(CAH02) subjects allied to medicine,(CAH02-02-01) pharmacology,Quintile 3,All,All,245
2023,(CAH02) subjects allied to medicine,(CAH02-02-01) pharmacology,Quintile 3,All,All,285
2024,(CAH02) subjects allied to medicine,(CAH02-02-01) pharmacology,Quintile 3,All,All,305
2019,(CAH02) subjects allied to medicine,(CAH02-02-03) pharmacy,Quintile 3,All,All,675
2020,(CAH02) subjects allied to medicine,(CAH02-02-03) pharmacy,Quintile 3,All,All,715
2021,(CAH02) subjects allied to medicine,(CAH02-02-03) pharmacy,Quintile 3,All,All,790
2022,(CAH02) subjects allied to medicine,(CAH02-02-03) pharmacy,Quintile 3,All,All,885
2023,(CAH02) subjects allied to medicine,(CAH02-02-03) pharmacy,Quintile 3,All,All,865
2024,(CAH02) subjects allied to medicine,(CAH02-02-03) pharmacy,Quintile 3,All,All,825
2019,(CAH02) subjects allied to medicine,(CAH02-06-05) physiotherapy,Quintile 3,All,All,430
2020,(CAH02) subjects allied to medicine,(CAH02-06-05) physiotherapy,Quintile 3,All,All,530
2021,(CAH02) subjects allied to medicine,(CAH02-06-05) physiotherapy,Quintile 3,All,All,565
2022,(CAH02) subjects allied to medicine,(CAH02-06-05) physiotherapy,Quintile 3,All,All,535
2023,(CAH02) subjects allied to medicine,(CAH02-06-05) physiotherapy,Quintile 3,All,All,575
2024,(CAH02) subjects allied to medicine,(CAH02-06-05) physiotherapy,Quintile 3,All,All,620
2019,(CAH02) subjects allied to medicine,(CAH02-05-02) healthcare science (non-specific),Quintile 3,All,All,215
2020,(CAH02) subjects allied to medicine,(CAH02-05-02) healthcare science (non-specific),Quintile 3,All,All,235
2021,(CAH02) subjects allied to medicine,(CAH02-05-02) healthcare science (non-specific),Quintile 3,All,All,235
2022,(CAH02) subjects allied to medicine,(CAH02-05-02) healthcare science (non-specific),Quintile 3,All,All,210
2023,(CAH02) subjects allied to medicine,(CAH02-05-02) healthcare science (non-specific),Quintile 3,All,All,790
2024,(CAH02) subjects allied to medicine,(CAH02-05-02) healthcare science (non-specific),Quintile 3,All,All,885
2019,(CAH02) subjects allied to medicine,(CAH02-05-03) biomedical sciences (non-specific),Quintile 3,All,All,1585
2020,(CAH02) subjects allied to medicine,(CAH02-05-03) biomedical sciences (non-specific),Quintile 3,All,All,1620
2021,(CAH02) subjects allied to medicine,(CAH02-05-03) biomedical sciences (non-specific),Quintile 3,All,All,1695
2022,(CAH02) subjects allied to medicine,(CAH02-05-03) biomedical sciences (non-specific),Quintile 3,All,All,1770
2023,(CAH02) subjects allied to medicine,(CAH02-05-03) biomedical sciences (non-specific),Quintile 3,All,All,1765
2024,(CAH02) subjects allied to medicine,(CAH02-05-03) biomedical sciences (non-specific),Quintile 3,All,All,1780
2019,(CAH02) subjects allied to medicine,(CAH02-02-02) toxicology,Quintile 3,All,All,5
2020,(CAH02) subjects allied to medicine,(CAH02-02-02) toxicology,Quintile 3,All,All,5
2021,(CAH02) subjects allied to medicine,(CAH02-02-02) toxicology,Quintile 3,All,All,5
2022,(CAH02) subjects allied to medicine,(CAH02-02-02) toxicology,Quintile 3,All,All,5
2023,(CAH02) subjects allied to medicine,(CAH02-02-02) toxicology,Quintile 3,All,All,5
2024,(CAH02) subjects allied to medicine,(CAH02-02-02) toxicology,Quintile 3,All,All,5
2019,(CAH02) subjects allied to medicine,(CAH02-04-02) adult nursing,Quintile 3,All,All,3105
2020,(CAH02) subjects allied to medicine,(CAH02-04-02) adult nursing,Quintile 3,All,All,3880
2021,(CAH02) subjects allied to medicine,(CAH02-04-02) adult nursing,Quintile 3,All,All,4195
2022,(CAH02) subjects allied to medicine,(CAH02-04-02) adult nursing,Quintile 3,All,All,3615
2023,(CAH02) subjects allied to medicine,(CAH02-04-02) adult nursing,Quintile 3,All,All,3025
2024,(CAH02) subjects allied to medicine,(CAH02-04-02) adult nursing,Quintile 3,All,All,3025
2019,(CAH02) subjects allied to medicine,(CAH02-04-05) children's nursing,Quintile 3,All,All,665
2020,(CAH02) subjects allied to medicine,(CAH02-04-05) children's nursing,Quintile 3,All,All,855
2021,(CAH02) subjects allied to medicine,(CAH02-04-05) children's nursing,Quintile 3,All,All,820
2022,(CAH02) subjects allied to medicine,(CAH02-04-05) children's nursing,Quintile 3,All,All,745
2023,(CAH02) subjects allied to medicine,(CAH02-04-05) children's nursing,Quintile 3,All,All,750
2024,(CAH02) subjects allied to medicine,(CAH02-04-05) children's nursing,Quintile 3,All,All,860
2019,(CAH02) subjects allied to medicine,(CAH02-04-03) community nursing,Quintile 3,All,All,5
2021,(CAH02) subjects allied to medicine,(CAH02-04-03) community nursing,Quintile 3,All,All,10
2022,(CAH02) subjects allied to medicine,(CAH02-04-03) community nursing,Quintile 3,All,All,5
2019,(CAH02) subjects allied to medicine,(CAH02-04-09) others in nursing,Quintile 3,All,All,50
2020,(CAH02) subjects allied to medicine,(CAH02-04-09) others in nursing,Quintile 3,All,All,65
2021,(CAH02) subjects allied to medicine,(CAH02-04-09) others in nursing,Quintile 3,All,All,70
2022,(CAH02) subjects allied to medicine,(CAH02-04-09) others in nursing,Quintile 3,All,All,75
2023,(CAH02) subjects allied to medicine,(CAH02-04-09) others in nursing,Quintile 3,All,All,80
2024,(CAH02) subjects allied to medicine,(CAH02-04-09) others in nursing,Quintile 3,All,All,65
2019,(CAH02) subjects allied to medicine,(CAH02-04-06) dental nursing,Quintile 3,All,All,25
2020,(CAH02) subjects allied to medicine,(CAH02-04-06) dental nursing,Quintile 3,All,All,35
2021,(CAH02) subjects allied to medicine,(CAH02-04-06) dental nursing,Quintile 3,All,All,40
2022,(CAH02) subjects allied to medicine,(CAH02-04-06) dental nursing,Quintile 3,All,All,50
2023,(CAH02) subjects allied to medicine,(CAH02-04-06) dental nursing,Quintile 3,All,All,45
2024,(CAH02) subjects allied to medicine,(CAH02-04-06) dental nursing,Quintile 3,All,All,65
2019,(CAH02) subjects allied to medicine,(CAH02-04-08) learning disabilities nursing,Quintile 3,All,All,120
2020,(CAH02) subjects allied to medicine,(CAH02-04-08) learning disabilities nursing,Quintile 3,All,All,150
2021,(CAH02) subjects allied to medicine,(CAH02-04-08) learning disabilities nursing,Quintile 3,All,All,170
2022,(CAH02) subjects allied to medicine,(CAH02-04-08) learning disabilities nursing,Quintile 3,All,All,140
2023,(CAH02) subjects allied to medicine,(CAH02-04-08) learning disabilities nursing,Quintile 3,All,All,110
2024,(CAH02) subjects allied to medicine,(CAH02-04-08) learning disabilities nursing,Quintile 3,All,All,110
2019,(CAH02) subjects allied to medicine,(CAH02-04-07) mental health nursing,Quintile 3,All,All,940
2020,(CAH02) subjects allied to medicine,(CAH02-04-07) mental health nursing,Quintile 3,All,All,1340
2021,(CAH02) subjects allied to medicine,(CAH02-04-07) mental health nursing,Quintile 3,All,All,1170
2022,(CAH02) subjects allied to medicine,(CAH02-04-07) mental health nursing,Quintile 3,All,All,1055
2023,(CAH02) subjects allied to medicine,(CAH02-04-07) mental health nursing,Quintile 3,All,All,1120
2024,(CAH02) subjects allied to medicine,(CAH02-04-07) mental health nursing,Quintile 3,All,All,1140
2019,(CAH02) subjects allied to medicine,(CAH02-04-04) midwifery,Quintile 3,All,All,760
2020,(CAH02) subjects allied to medicine,(CAH02-04-04) midwifery,Quintile 3,All,All,890
2021,(CAH02) subjects allied to medicine,(CAH02-04-04) midwifery,Quintile 3,All,All,875
2022,(CAH02) subjects allied to medicine,(CAH02-04-04) midwifery,Quintile 3,All,All,835
2023,(CAH02) subjects allied to medicine,(CAH02-04-04) midwifery,Quintile 3,All,All,940
2024,(CAH02) subjects allied to medicine,(CAH02-04-04) midwifery,Quintile 3,All,All,870
2019,(CAH02) subjects allied to medicine,(CAH02-04-01) nursing (non-specific),Quintile 3,All,All,445
2020,(CAH02) subjects allied to medicine,(CAH02-04-01) nursing (non-specific),Quintile 3,All,All,390
2021,(CAH02) subjects allied to medicine,(CAH02-04-01) nursing (non-specific),Quintile 3,All,All,375
2022,(CAH02) subjects allied to medicine,(CAH02-04-01) nursing (non-specific),Quintile 3,All,All,310
2023,(CAH02) subjects allied to medicine,(CAH02-04-01) nursing (non-specific),Quintile 3,All,All,320
2024,(CAH02) subjects allied to medicine,(CAH02-04-01) nursing (non-specific),Quintile 3,All,All,335
2019,(CAH19) language and area studies,(CAH19-01-05) creative writing,Quintile 3,All,All,310
2020,(CAH19) language and area studies,(CAH19-01-05) creative writing,Quintile 3,All,All,325
2021,(CAH19) language and area studies,(CAH19-01-05) creative writing,Quintile 3,All,All,310
2022,(CAH19) language and area studies,(CAH19-01-05) creative writing,Quintile 3,All,All,325
2023,(CAH19) language and area studies,(CAH19-01-05) creative writing,Quintile 3,All,All,340
2024,(CAH19) language and area studies,(CAH19-01-05) creative writing,Quintile 3,All,All,310
2019,(CAH19) language and area studies,(CAH19-04-08) American and Australasian studies,Quintile 3,All,All,65
2020,(CAH19) language and area studies,(CAH19-04-08) American and Australasian studies,Quintile 3,All,All,45
2021,(CAH19) language and area studies,(CAH19-04-08) American and Australasian studies,Quintile 3,All,All,40
2022,(CAH19) language and area studies,(CAH19-04-08) American and Australasian studies,Quintile 3,All,All,35
2023,(CAH19) language and area studies,(CAH19-04-08) American and Australasian studies,Quintile 3,All,All,25
2024,(CAH19) language and area studies,(CAH19-04-08) American and Australasian studies,Quintile 3,All,All,20
2019,(CAH19) language and area studies,(CAH19-01-06) others in English studies,Quintile 3,All,All,25
2020,(CAH19) language and area studies,(CAH19-01-06) others in English studies,Quintile 3,All,All,10
2021,(CAH19) language and area studies,(CAH19-01-06) others in English studies,Quintile 3,All,All,15
2022,(CAH19) language and area studies,(CAH19-01-06) others in English studies,Quintile 3,All,All,5
