Year,Subject group HECoS CAH1,Subject group HECoS CAH3,IMD Aggregated,Accepted applicants
2023,(CAH03) biological and sport sciences,(CAH03-01-04) microbiology and cell science,Quintile 3,95
2024,(CAH03) biological and sport sciences,(CAH03-01-04) microbiology and cell science,Quintile 3,100
2019,(CAH03) biological and sport sciences,(CAH03-01-05) plant sciences,Quintile 3,10
2020,(CAH03) biological and sport sciences,(CAH03-01-05) plant sciences,Quintile 3,10
2021,(CAH03) biological and sport sciences,(CAH03-01-05) plant sciences,Quintile 3,15
2022,(CAH03) biological and sport sciences,(CAH03-01-05) plant sciences,Quintile 3,10
2023,(CAH03) biological and sport sciences,(CAH03-01-05) plant sciences,Quintile 3,20
2024,(CAH03) biological and sport sciences,(CAH03-01-05) plant sciences,Quintile 3,10
2019,(CAH03) biological and sport sciences,(CAH03-01-06) zoology,Quintile 3,355
2020,(CAH03) biological and sport sciences,(CAH03-01-06) zoology,Quintile 3,360
2021,(CAH03) biological and sport sciences,(CAH03-01-06) zoology,Quintile 3,375
2022,(CAH03) biological and sport sciences,(CAH03-01-06) zoology,Quintile 3,360
2023,(CAH03) biological and sport sciences,(CAH03-01-06) zoology,Quintile 3,300
2024,(CAH03) biological and sport sciences,(CAH03-01-06) zoology,Quintile 3,335
2019,(CAH03) biological and sport sciences,(CAH03-01-09) hair and beauty sciences,Quintile 3,20
2020,(CAH03) biological and sport sciences,(CAH03-01-09) hair and beauty sciences,Quintile 3,15
2021,(CAH03) biological and sport sciences,(CAH03-01-09) hair and beauty sciences,Quintile 3,10
2023,(CAH03) biological and sport sciences,(CAH03-01-09) hair and beauty sciences,Quintile 3,5
2024,(CAH03) biological and sport sciences,(CAH03-01-09) hair and beauty sciences,Quintile 3,5
2019,"(CAH13) architecture, building and planning",(CAH13-01-01) architecture,Quintile 3,825
2020,"(CAH13) architecture, building and planning",(CAH13-01-01) architecture,Quintile 3,845
2021,"(CAH13) architecture, building and planning",(CAH13-01-01) architecture,Quintile 3,905
2022,"(CAH13) architecture, building and planning",(CAH13-01-01) architecture,Quintile 3,920
2023,"(CAH13) architecture, building and planning",(CAH13-01-01) architecture,Quintile 3,870
2024,"(CAH13) architecture, building and planning",(CAH13-01-01) architecture,Quintile 3,955
2019,"(CAH13) architecture, building and planning",(CAH13-01-03) landscape design,Quintile 3,25
2020,"(CAH13) architecture, building and planning",(CAH13-01-03) landscape design,Quintile 3,35
2021,"(CAH13) architecture, building and planning",(CAH13-01-03) landscape design,Quintile 3,20
2022,"(CAH13) architecture, building and planning",(CAH13-01-03) landscape design,Quintile 3,25
2023,"(CAH13) architecture, building and planning",(CAH13-01-03) landscape design,Quintile 3,30
2024,"(CAH13) architecture, building and planning",(CAH13-01-03) landscape design,Quintile 3,35
2019,"(CAH13) architecture, building and planning",(CAH13-01-02) building,Quintile 3,615
2020,"(CAH13) architecture, building and planning",(CAH13-01-02) building,Quintile 3,640
2021,"(CAH13) architecture, building and planning",(CAH13-01-02) building,Quintile 3,635
2022,"(CAH13) architecture, building and planning",(CAH13-01-02) building,Quintile 3,990
2023,"(CAH13) architecture, building and planning",(CAH13-01-02) building,Quintile 3,1065
2024,"(CAH13) architecture, building and planning",(CAH13-01-02) building,Quintile 3,1145
2019,"(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)",Quintile 3,190
2020,"(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)",Quintile 3,185
2021,"(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)",Quintile 3,135
2022,"(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)",Quintile 3,120
2023,"(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)",Quintile 3,120
2024,"(CAH13) architecture, building and planning","(CAH13-01-04) planning (urban, rural and regional)",Quintile 3,125
2019,(CAH01) medicine and dentistry,(CAH01-01-03) medicine by specialism,Quintile 3,30
2020,(CAH01) medicine and dentistry,(CAH01-01-03) medicine by specialism,Quintile 3,55
2021,(CAH01) medicine and dentistry,(CAH01-01-03) medicine by specialism,Quintile 3,45
2022,(CAH01) medicine and dentistry,(CAH01-01-03) medicine by specialism,Quintile 3,40
2023,(CAH01) medicine and dentistry,(CAH01-01-03) medicine by specialism,Quintile 3,35
2024,(CAH01) medicine and dentistry,(CAH01-01-03) medicine by specialism,Quintile 3,40
2019,(CAH01) medicine and dentistry,(CAH01-01-04) dentistry,Quintile 3,225
2020,(CAH01) medicine and dentistry,(CAH01-01-04) dentistry,Quintile 3,260
2021,(CAH01) medicine and dentistry,(CAH01-01-04) dentistry,Quintile 3,285
2022,(CAH01) medicine and dentistry,(CAH01-01-04) dentistry,Quintile 3,220
2023,(CAH01) medicine and dentistry,(CAH01-01-04) dentistry,Quintile 3,235
2024,(CAH01) medicine and dentistry,(CAH01-01-04) dentistry,Quintile 3,240
2019,(CAH01) medicine and dentistry,(CAH01-01-02) medicine (non-specific),Quintile 3,1575
2020,(CAH01) medicine and dentistry,(CAH01-01-02) medicine (non-specific),Quintile 3,1585
2021,(CAH01) medicine and dentistry,(CAH01-01-02) medicine (non-specific),Quintile 3,1800
2022,(CAH01) medicine and dentistry,(CAH01-01-02) medicine (non-specific),Quintile 3,1540
2023,(CAH01) medicine and dentistry,(CAH01-01-02) medicine (non-specific),Quintile 3,1620
2024,(CAH01) medicine and dentistry,(CAH01-01-02) medicine (non-specific),Quintile 3,1810
2019,(CAH01) medicine and dentistry,(CAH01-01-01) medical sciences (non-specific),Quintile 3,65
2020,(CAH01) medicine and dentistry,(CAH01-01-01) medical sciences (non-specific),Quintile 3,85
2021,(CAH01) medicine and dentistry,(CAH01-01-01) medical sciences (non-specific),Quintile 3,75
2022,(CAH01) medicine and dentistry,(CAH01-01-01) medical sciences (non-specific),Quintile 3,70
2023,(CAH01) medicine and dentistry,(CAH01-01-01) medical sciences (non-specific),Quintile 3,75
2024,(CAH01) medicine and dentistry,(CAH01-01-01) medical sciences (non-specific),Quintile 3,75
2019,"(CAH20) historical, philosophical and religious studies",(CAH20-01-01) history,Quintile 3,1940
2020,"(CAH20) historical, philosophical and religious studies",(CAH20-01-01) history,Quintile 3,1850
2021,"(CAH20) historical, philosophical and religious studies",(CAH20-01-01) history,Quintile 3,1710
2022,"(CAH20) historical, philosophical and religious studies",(CAH20-01-01) history,Quintile 3,1735
2023,"(CAH20) historical, philosophical and religious studies",(CAH20-01-01) history,Quintile 3,1760
2024,"(CAH20) historical, philosophical and religious studies",(CAH20-01-01) history,Quintile 3,1685
2019,"(CAH20) historical, philosophical and religious studies",(CAH20-01-03) archaeology,Quintile 3,170
2020,"(CAH20) historical, philosophical and religious studies",(CAH20-01-03) archaeology,Quintile 3,145
2021,"(CAH20) historical, philosophical and religious studies",(CAH20-01-03) archaeology,Quintile 3,145
2022,"(CAH20) historical, philosophical and religious studies",(CAH20-01-03) archaeology,Quintile 3,145
2023,"(CAH20) historical, philosophical and religious studies",(CAH20-01-03) archaeology,Quintile 3,190
2024,"(CAH20) historical, philosophical and religious studies",(CAH20-01-03) archaeology,Quintile 3,170
2019,"(CAH20) historical, philosophical and religious studies",(CAH20-01-05) classics,Quintile 3,225
2020,"(CAH20) historical, philosophical and religious studies",(CAH20-01-05) classics,Quintile 3,230
2021,"(CAH20) historical, philosophical and religious studies",(CAH20-01-05) classics,Quintile 3,200
2022,"(CAH20) historical, philosophical and religious studies",(CAH20-01-05) classics,Quintile 3,230
2023,"(CAH20) historical, philosophical and religious studies",(CAH20-01-05) classics,Quintile 3,260
2024,"(CAH20) historical, philosophical and religious studies",(CAH20-01-05) classics,Quintile 3,255
2019,"(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design",Quintile 3,200
2020,"(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design",Quintile 3,200
2021,"(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design",Quintile 3,195
2022,"(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design",Quintile 3,215
2023,"(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design",Quintile 3,210
2024,"(CAH20) historical, philosophical and religious studies","(CAH20-01-02) history of art, architecture and design",Quintile 3,185
2019,"(CAH20) historical, philosophical and religious studies",(CAH20-02-01) philosophy,Quintile 3,600
2020,"(CAH20) historical, philosophical and religious studies",(CAH20-02-01) philosophy,Quintile 3,560
2021,"(CAH20) historical, philosophical and religious studies",(CAH20-02-01) philosophy,Quintile 3,600
2022,"(CAH20) historical, philosophical and religious studies",(CAH20-02-01) philosophy,Quintile 3,595
2023,"(CAH20) historical, philosophical and religious studies",(CAH20-02-01) philosophy,Quintile 3,560
2024,"(CAH20) historical, philosophical and religious studies",(CAH20-02-01) philosophy,Quintile 3,555
2019,"(CAH20) historical, philosophical and religious studies",(CAH20-02-02) theology and religious studies,Quintile 3,195
2020,"(CAH20) historical, philosophical and religious studies",(CAH20-02-02) theology and religious studies,Quintile 3,165
2021,"(CAH20) historical, philosophical and religious studies",(CAH20-02-02) theology and religious studies,Quintile 3,165
2022,"(CAH20) historical, philosophical and religious studies",(CAH20-02-02) theology and religious studies,Quintile 3,145
2023,"(CAH20) historical, philosophical and religious studies",(CAH20-02-02) theology and religious studies,Quintile 3,135
2024,"(CAH20) historical, philosophical and religious studies",(CAH20-02-02) theology and religious studies,Quintile 3,160
2019,"(CAH20) historical, philosophical and religious studies",(CAH20-01-04) heritage studies,Quintile 3,5
2020,"(CAH20) historical, philosophical and religious studies",(CAH20-01-04) heritage studies,Quintile 3,15
2021,"(CAH20) historical, philosophical and religious studies",(CAH20-01-04) heritage studies,Quintile 3,5
2022,"(CAH20) historical, philosophical and religious studies",(CAH20-01-04) heritage studies,Quintile 3,15
2023,"(CAH20) historical, philosophical and religious studies",(CAH20-01-04) heritage studies,Quintile 3,10
2024,"(CAH20) historical, philosophical and religious studies",(CAH20-01-04) heritage studies,Quintile 3,10
2019,(CAH11) computing,(CAH11-01-08) others in computing,Quintile 3,225
2020,(CAH11) computing,(CAH11-01-08) others in computing,Quintile 3,235
2021,(CAH11) computing,(CAH11-01-08) others in computing,Quintile 3,195
2022,(CAH11) computing,(CAH11-01-08) others in computing,Quintile 3,170
2023,(CAH11) computing,(CAH11-01-08) others in computing,Quintile 3,145
2024,(CAH11) computing,(CAH11-01-08) others in computing,Quintile 3,210
2019,(CAH11) computing,(CAH11-01-05) artificial intelligence,Quintile 3,55
2020,(CAH11) computing,(CAH11-01-05) artificial intelligence,Quintile 3,75
2021,(CAH11) computing,(CAH11-01-05) artificial intelligence,Quintile 3,80
2022,(CAH11) computing,(CAH11-01-05) artificial intelligence,Quintile 3,80
2023,(CAH11) computing,(CAH11-01-05) artificial intelligence,Quintile 3,120
2024,(CAH11) computing,(CAH11-01-05) artificial intelligence,Quintile 3,145
2019,(CAH11) computing,(CAH11-01-07) business computing,Quintile 3,205
2020,(CAH11) computing,(CAH11-01-07) business computing,Quintile 3,200
2021,(CAH11) computing,(CAH11-01-07) business computing,Quintile 3,185
2022,(CAH11) computing,(CAH11-01-07) business computing,Quintile 3,170
2023,(CAH11) computing,(CAH11-01-07) business computing,Quintile 3,130
2024,(CAH11) computing,(CAH11-01-07) business computing,Quintile 3,115
2019,(CAH11) computing,(CAH11-01-06) computer games and animation,Quintile 3,1000
2020,(CAH11) computing,(CAH11-01-06) computer games and animation,Quintile 3,985
2021,(CAH11) computing,(CAH11-01-06) computer games and animation,Quintile 3,975
2022,(CAH11) computing,(CAH11-01-06) computer games and animation,Quintile 3,1105
2023,(CAH11) computing,(CAH11-01-06) computer games and animation,Quintile 3,1050
2024,(CAH11) computing,(CAH11-01-06) computer games and animation,Quintile 3,1110
2019,(CAH11) computing,(CAH11-01-01) computer science,Quintile 3,2425
2020,(CAH11) computing,(CAH11-01-01) computer science,Quintile 3,2555
2021,(CAH11) computing,(CAH11-01-01) computer science,Quintile 3,2605
2022,(CAH11) computing,(CAH11-01-01) computer science,Quintile 3,2775
2023,(CAH11) computing,(CAH11-01-01) computer science,Quintile 3,2920
2024,(CAH11) computing,(CAH11-01-01) computer science,Quintile 3,3125
2019,(CAH11) computing,(CAH11-01-02) information technology,Quintile 3,195
2020,(CAH11) computing,(CAH11-01-02) information technology,Quintile 3,200
2021,(CAH11) computing,(CAH11-01-02) information technology,Quintile 3,180
2022,(CAH11) computing,(CAH11-01-02) information technology,Quintile 3,185
2023,(CAH11) computing,(CAH11-01-02) information technology,Quintile 3,140
2024,(CAH11) computing,(CAH11-01-02) information technology,Quintile 3,125
2019,(CAH11) computing,(CAH11-01-03) information systems,Quintile 3,135
2020,(CAH11) computing,(CAH11-01-03) information systems,Quintile 3,130
2021,(CAH11) computing,(CAH11-01-03) information systems,Quintile 3,135
2022,(CAH11) computing,(CAH11-01-03) information systems,Quintile 3,120
2023,(CAH11) computing,(CAH11-01-03) information systems,Quintile 3,120
2024,(CAH11) computing,(CAH11-01-03) information systems,Quintile 3,125
2019,(CAH11) computing,(CAH11-01-04) software engineering,Quintile 3,525
2020,(CAH11) computing,(CAH11-01-04) software engineering,Quintile 3,605
2021,(CAH11) computing,(CAH11-01-04) software engineering,Quintile 3,630
2022,(CAH11) computing,(CAH11-01-04) software engineering,Quintile 3,700
2023,(CAH11) computing,(CAH11-01-04) software engineering,Quintile 3,745
2024,(CAH11) computing,(CAH11-01-04) software engineering,Quintile 3,850
2019,"(CAH26) geography, earth and environmental studies",(CAH26-01-06) earth sciences,Quintile 3,320
2020,"(CAH26) geography, earth and environmental studies",(CAH26-01-06) earth sciences,Quintile 3,285
2021,"(CAH26) geography, earth and environmental studies",(CAH26-01-06) earth sciences,Quintile 3,300
2022,"(CAH26) geography, earth and environmental studies",(CAH26-01-06) earth sciences,Quintile 3,310
2023,"(CAH26) geography, earth and environmental studies",(CAH26-01-06) earth sciences,Quintile 3,300
2024,"(CAH26) geography, earth and environmental studies",(CAH26-01-06) earth sciences,Quintile 3,280
2019,"(CAH26) geography, earth and environmental studies",(CAH26-01-04) environmental sciences,Quintile 3,200
2020,"(CAH26) geography, earth and environmental studies",(CAH26-01-04) environmental sciences,Quintile 3,245
2021,"(CAH26) geography, earth and environmental studies",(CAH26-01-04) environmental sciences,Quintile 3,240
2022,"(CAH26) geography, earth and environmental studies",(CAH26-01-04) environmental sciences,Quintile 3,235
2023,"(CAH26) geography, earth and environmental studies",(CAH26-01-04) environmental sciences,Quintile 3,230
2024,"(CAH26) geography, earth and environmental studies",(CAH26-01-04) environmental sciences,Quintile 3,260
2019,"(CAH26) geography, earth and environmental studies",(CAH26-01-02) physical geographical sciences,Quintile 3,380
2020,"(CAH26) geography, earth and environmental studies",(CAH26-01-02) physical geographical sciences,Quintile 3,425
2021,"(CAH26) geography, earth and environmental studies",(CAH26-01-02) physical geographical sciences,Quintile 3,440
2022,"(CAH26) geography, earth and environmental studies",(CAH26-01-02) physical geographical sciences,Quintile 3,425
2023,"(CAH26) geography, earth and environmental studies",(CAH26-01-02) physical geographical sciences,Quintile 3,420
2024,"(CAH26) geography, earth and environmental studies",(CAH26-01-02) physical geographical sciences,Quintile 3,425
2019,"(CAH26) geography, earth and environmental studies",(CAH26-01-01) geography (non-specific),Quintile 3,215
2020,"(CAH26) geography, earth and environmental studies",(CAH26-01-01) geography (non-specific),Quintile 3,195
2021,"(CAH26) geography, earth and environmental studies",(CAH26-01-01) geography (non-specific),Quintile 3,180
2022,"(CAH26) geography, earth and environmental studies",(CAH26-01-01) geography (non-specific),Quintile 3,210
2023,"(CAH26) geography, earth and environmental studies",(CAH26-01-01) geography (non-specific),Quintile 3,215
2024,"(CAH26) geography, earth and environmental studies",(CAH26-01-01) geography (non-specific),Quintile 3,205
2019,"(CAH26) geography, earth and environmental studies",(CAH26-01-03) human geography,Quintile 3,585
2020,"(CAH26) geography, earth and environmental studies",(CAH26-01-03) human geography,Quintile 3,515
2021,"(CAH26) geography, earth and environmental studies",(CAH26-01-03) human geography,Quintile 3,530
2022,"(CAH26) geography, earth and environmental studies",(CAH26-01-03) human geography,Quintile 3,455
2023,"(CAH26) geography, earth and environmental studies",(CAH26-01-03) human geography,Quintile 3,520
2024,"(CAH26) geography, earth and environmental studies",(CAH26-01-03) human geography,Quintile 3,495
2019,(CAH07) physical sciences,(CAH07-04-02) forensic and archaeological sciences,Quintile 3,470
2020,(CAH07) physical sciences,(CAH07-04-02) forensic and archaeological sciences,Quintile 3,450
2021,(CAH07) physical sciences,(CAH07-04-02) forensic and archaeological sciences,Quintile 3,500
2022,(CAH07) physical sciences,(CAH07-04-02) forensic and archaeological sciences,Quintile 3,505
2023,(CAH07) physical sciences,(CAH07-04-02) forensic and archaeological sciences,Quintile 3,440
2024,(CAH07) physical sciences,(CAH07-04-02) forensic and archaeological sciences,Quintile 3,455
2019,(CAH07) physical sciences,(CAH07-04-03) sciences (non-specific),Quintile 3,85
2020,(CAH07) physical sciences,(CAH07-04-03) sciences (non-specific),Quintile 3,90
2021,(CAH07) physical sciences,(CAH07-04-03) sciences (non-specific),Quintile 3,70
2022,(CAH07) physical sciences,(CAH07-04-03) sciences (non-specific),Quintile 3,115
2023,(CAH07) physical sciences,(CAH07-04-03) sciences (non-specific),Quintile 3,125
2024,(CAH07) physical sciences,(CAH07-04-03) sciences (non-specific),Quintile 3,130
2019,(CAH07) physical sciences,(CAH07-04-04) natural sciences (non-specific),Quintile 3,110
2020,(CAH07) physical sciences,(CAH07-04-04) natural sciences (non-specific),Quintile 3,135
2021,(CAH07) physical sciences,(CAH07-04-04) natural sciences (non-specific),Quintile 3,125
2022,(CAH07) physical sciences,(CAH07-04-04) natural sciences (non-specific),Quintile 3,130
2023,(CAH07) physical sciences,(CAH07-04-04) natural sciences (non-specific),Quintile 3,100
2024,(CAH07) physical sciences,(CAH07-04-04) natural sciences (non-specific),Quintile 3,110
2019,(CAH07) physical sciences,(CAH07-02-01) chemistry,Quintile 3,820
2020,(CAH07) physical sciences,(CAH07-02-01) chemistry,Quintile 3,805
2021,(CAH07) physical sciences,(CAH07-02-01) chemistry,Quintile 3,745
2022,(CAH07) physical sciences,(CAH07-02-01) chemistry,Quintile 3,755
2023,(CAH07) physical sciences,(CAH07-02-01) chemistry,Quintile 3,775
2024,(CAH07) physical sciences,(CAH07-02-01) chemistry,Quintile 3,800
2019,(CAH07) physical sciences,(CAH07-01-02) astronomy,Quintile 3,115
2020,(CAH07) physical sciences,(CAH07-01-02) astronomy,Quintile 3,100
2021,(CAH07) physical sciences,(CAH07-01-02) astronomy,Quintile 3,125
2022,(CAH07) physical sciences,(CAH07-01-02) astronomy,Quintile 3,115
2023,(CAH07) physical sciences,(CAH07-01-02) astronomy,Quintile 3,120
2024,(CAH07) physical sciences,(CAH07-01-02) astronomy,Quintile 3,135
2019,(CAH07) physical sciences,(CAH07-01-01) physics,Quintile 3,840
2020,(CAH07) physical sciences,(CAH07-01-01) physics,Quintile 3,845
2021,(CAH07) physical sciences,(CAH07-01-01) physics,Quintile 3,790
2022,(CAH07) physical sciences,(CAH07-01-01) physics,Quintile 3,785
2023,(CAH07) physical sciences,(CAH07-01-01) physics,Quintile 3,760
2024,(CAH07) physical sciences,(CAH07-01-01) physics,Quintile 3,810
2019,(CAH07) physical sciences,(CAH07-04-01) physical sciences (non-specific),Quintile 3,25
2020,(CAH07) physical sciences,(CAH07-04-01) physical sciences (non-specific),Quintile 3,5
2021,(CAH07) physical sciences,(CAH07-04-01) physical sciences (non-specific),Quintile 3,5
2022,(CAH07) physical sciences,(CAH07-04-01) physical sciences (non-specific),Quintile 3,5
2023,(CAH07) physical sciences,(CAH07-04-01) physical sciences (non-specific),Quintile 3,5
2024,(CAH07) physical sciences,(CAH07-04-01) physical sciences (non-specific),Quintile 3,5
2019,(CAH04) psychology,(CAH04-01-02) applied psychology,Quintile 3,455
2020,(CAH04) psychology,(CAH04-01-02) applied psychology,Quintile 3,515
2021,(CAH04) psychology,(CAH04-01-02) applied psychology,Quintile 3,540
2022,(CAH04) psychology,(CAH04-01-02) applied psychology,Quintile 3,505
2023,(CAH04) psychology,(CAH04-01-02) applied psychology,Quintile 3,505
2024,(CAH04) psychology,(CAH04-01-02) applied psychology,Quintile 3,465
2019,(CAH04) psychology,(CAH04-01-04) psychology and health,Quintile 3,45
2020,(CAH04) psychology,(CAH04-01-04) psychology and health,Quintile 3,50
2021,(CAH04) psychology,(CAH04-01-04) psychology and health,Quintile 3,65
2022,(CAH04) psychology,(CAH04-01-04) psychology and health,Quintile 3,55
2023,(CAH04) psychology,(CAH04-01-04) psychology and health,Quintile 3,50
2024,(CAH04) psychology,(CAH04-01-04) psychology and health,Quintile 3,45
2019,(CAH04) psychology,(CAH04-01-03) developmental psychology,Quintile 3,70
2020,(CAH04) psychology,(CAH04-01-03) developmental psychology,Quintile 3,80
2021,(CAH04) psychology,(CAH04-01-03) developmental psychology,Quintile 3,105
2022,(CAH04) psychology,(CAH04-01-03) developmental psychology,Quintile 3,100
2023,(CAH04) psychology,(CAH04-01-03) developmental psychology,Quintile 3,80
2024,(CAH04) psychology,(CAH04-01-03) developmental psychology,Quintile 3,95
2019,(CAH04) psychology,(CAH04-01-01) psychology (non-specific),Quintile 3,3700
2020,(CAH04) psychology,(CAH04-01-01) psychology (non-specific),Quintile 3,3895
2021,(CAH04) psychology,(CAH04-01-01) psychology (non-specific),Quintile 3,4080
2022,(CAH04) psychology,(CAH04-01-01) psychology (non-specific),Quintile 3,3980
2023,(CAH04) psychology,(CAH04-01-01) psychology (non-specific),Quintile 3,3840
2024,(CAH04) psychology,(CAH04-01-01) psychology (non-specific),Quintile 3,3705
2019,(CAH04) psychology,(CAH04-01-05) others in psychology,Quintile 3,75
2020,(CAH04) psychology,(CAH04-01-05) others in psychology,Quintile 3,70
2021,(CAH04) psychology,(CAH04-01-05) others in psychology,Quintile 3,70
2022,(CAH04) psychology,(CAH04-01-05) others in psychology,Quintile 3,85
2023,(CAH04) psychology,(CAH04-01-05) others in psychology,Quintile 3,65
2024,(CAH04) psychology,(CAH04-01-05) others in psychology,Quintile 3,80
2019,(CAH09) mathematical sciences,(CAH09-01-01) mathematics,Quintile 3,1310
2020,(CAH09) mathematical sciences,(CAH09-01-01) mathematics,Quintile 3,1250
2021,(CAH09) mathematical sciences,(CAH09-01-01) mathematics,Quintile 3,1310
2022,(CAH09) mathematical sciences,(CAH09-01-01) mathematics,Quintile 3,1315
2023,(CAH09) mathematical sciences,(CAH09-01-01) mathematics,Quintile 3,1300
2024,(CAH09) mathematical sciences,(CAH09-01-01) mathematics,Quintile 3,1385
2019,(CAH09) mathematical sciences,(CAH09-01-02) operational research,Quintile 3,5
2020,(CAH09) mathematical sciences,(CAH09-01-02) operational research,Quintile 3,10
2021,(CAH09) mathematical sciences,(CAH09-01-02) operational research,Quintile 3,10
2022,(CAH09) mathematical sciences,(CAH09-01-02) operational research,Quintile 3,5
2023,(CAH09) mathematical sciences,(CAH09-01-02) operational research,Quintile 3,5
2024,(CAH09) mathematical sciences,(CAH09-01-02) operational research,Quintile 3,10
2019,(CAH09) mathematical sciences,(CAH09-01-03) statistics,Quintile 3,40
2020,(CAH09) mathematical sciences,(CAH09-01-03) statistics,Quintile 3,60
2021,(CAH09) mathematical sciences,(CAH09-01-03) statistics,Quintile 3,70
2022,(CAH09) mathematical sciences,(CAH09-01-03) statistics,Quintile 3,60
2023,(CAH09) mathematical sciences,(CAH09-01-03) statistics,Quintile 3,60
2024,(CAH09) mathematical sciences,(CAH09-01-03) statistics,Quintile 3,65
2019,(CAH22) education and teaching,(CAH22-01-01) education,Quintile 3,1320
2020,(CAH22) education and teaching,(CAH22-01-01) education,Quintile 3,1240
2021,(CAH22) education and teaching,(CAH22-01-01) education,Quintile 3,1095
2022,(CAH22) education and teaching,(CAH22-01-01) education,Quintile 3,1130
2023,(CAH22) education and teaching,(CAH22-01-01) education,Quintile 3,975
2024,(CAH22) education and teaching,(CAH22-01-01) education,Quintile 3,1040
2019,(CAH22) education and teaching,(CAH22-01-02) teacher training,Quintile 3,1735
2020,(CAH22) education and teaching,(CAH22-01-02) teacher training,Quintile 3,1895
2021,(CAH22) education and teaching,(CAH22-01-02) teacher training,Quintile 3,1855
2022,(CAH22) education and teaching,(CAH22-01-02) teacher training,Quintile 3,1825
2023,(CAH22) education and teaching,(CAH22-01-02) teacher training,Quintile 3,1660
2024,(CAH22) education and teaching,(CAH22-01-02) teacher training,Quintile 3,1635
2019,"(CAH06) agriculture, food and related studies",(CAH06-01-04) rural estate management,Quintile 3,35
2020,"(CAH06) agriculture, food and related studies",(CAH06-01-04) rural estate management,Quintile 3,50
2021,"(CAH06) agriculture, food and related studies",(CAH06-01-04) rural estate management,Quintile 3,35
2022,"(CAH06) agriculture, food and related studies",(CAH06-01-04) rural estate management,Quintile 3,35
2023,"(CAH06) agriculture, food and related studies",(CAH06-01-04) rural estate management,Quintile 3,35
2024,"(CAH06) agriculture, food and related studies",(CAH06-01-04) rural estate management,Quintile 3,40
2019,"(CAH06) agriculture, food and related studies",(CAH06-01-02) agricultural sciences,Quintile 3,20
2020,"(CAH06) agriculture, food and related studies",(CAH06-01-02) agricultural sciences,Quintile 3,25
2021,"(CAH06) agriculture, food and related studies",(CAH06-01-02) agricultural sciences,Quintile 3,15
2022,"(CAH06) agriculture, food and related studies",(CAH06-01-02) agricultural sciences,Quintile 3,15
2023,"(CAH06) agriculture, food and related studies",(CAH06-01-02) agricultural sciences,Quintile 3,25
2024,"(CAH06) agriculture, food and related studies",(CAH06-01-02) agricultural sciences,Quintile 3,20
2019,"(CAH06) agriculture, food and related studies",(CAH06-01-03) agriculture,Quintile 3,465
2020,"(CAH06) agriculture, food and related studies",(CAH06-01-03) agriculture,Quintile 3,545
2021,"(CAH06) agriculture, food and related studies",(CAH06-01-03) agriculture,Quintile 3,515
2022,"(CAH06) agriculture, food and related studies",(CAH06-01-03) agriculture,Quintile 3,520
2023,"(CAH06) agriculture, food and related studies",(CAH06-01-03) agriculture,Quintile 3,475
2024,"(CAH06) agriculture, food and related studies",(CAH06-01-03) agriculture,Quintile 3,460
2019,"(CAH06) agriculture, food and related studies",(CAH06-01-01) animal science,Quintile 3,500
2020,"(CAH06) agriculture, food and related studies",(CAH06-01-01) animal science,Quintile 3,470
2021,"(CAH06) agriculture, food and related studies",(CAH06-01-01) animal science,Quintile 3,490
2022,"(CAH06) agriculture, food and related studies",(CAH06-01-01) animal science,Quintile 3,465
2023,"(CAH06) agriculture, food and related studies",(CAH06-01-01) animal science,Quintile 3,405
2024,"(CAH06) agriculture, food and related studies",(CAH06-01-01) animal science,Quintile 3,360
2019,"(CAH06) agriculture, food and related studies",(CAH06-01-05) forestry and arboriculture,Quintile 3,20
2020,"(CAH06) agriculture, food and related studies",(CAH06-01-05) forestry and arboriculture,Quintile 3,20
2021,"(CAH06) agriculture, food and related studies",(CAH06-01-05) forestry and arboriculture,Quintile 3,25
2022,"(CAH06) agriculture, food and related studies",(CAH06-01-05) forestry and arboriculture,Quintile 3,25
2023,"(CAH06) agriculture, food and related studies",(CAH06-01-05) forestry and arboriculture,Quintile 3,15
2024,"(CAH06) agriculture, food and related studies",(CAH06-01-05) forestry and arboriculture,Quintile 3,15
2019,"(CAH06) agriculture, food and related studies",(CAH06-01-08) food and beverage production,Quintile 3,30
2020,"(CAH06) agriculture, food and related studies",(CAH06-01-08) food and beverage production,Quintile 3,25
2021,"(CAH06) agriculture, food and related studies",(CAH06-01-08) food and beverage production,Quintile 3,35
2022,"(CAH06) agriculture, food and related studies",(CAH06-01-08) food and beverage production,Quintile 3,25
2023,"(CAH06) agriculture, food and related studies",(CAH06-01-08) food and beverage production,Quintile 3,30
